Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 438.10254	 0	 14.793906	 595.61058	 Fe hcp (Smith)
86	 9.8298601e-05	 438.10253	 2.5571317e-12	 14.793906	 595.61057	 Fe hcp (Smith)
121	 0.00019725842	 438.10249	 2.066416e-11	 14.793905	 595.61056	 Fe hcp (Smith)
142	 0.00029959081	 438.10243	 7.2392996e-11	 14.793905	 595.61054	 Fe hcp (Smith)
157	 0.00040379999	 438.10234	 1.7725968e-10	 14.793904	 595.6105	 Fe hcp (Smith)
168	 0.00050261336	 438.10223	 3.4183233e-10	 14.793903	 595.61046	 Fe hcp (Smith)
177	 0.00060119688	 438.10209	 5.8500715e-10	 14.793902	 595.6104	 Fe hcp (Smith)
185	 0.00070494767	 438.10192	 9.431519e-10	 14.793901	 595.61034	 Fe hcp (Smith)
192	 0.00081031621	 438.10173	 1.4324338e-09	 14.793899	 595.61026	 Fe hcp (Smith)
198	 0.00091308173	 438.1015	 2.0494621e-09	 14.793897	 595.61017	 Fe hcp (Smith)
204	 0.0010288801	 438.10122	 2.9322786e-09	 14.793895	 595.61006	 Fe hcp (Smith)
209	 0.0011365208	 438.10093	 3.9522372e-09	 14.793893	 595.60995	 Fe hcp (Smith)
214	 0.0012554227	 438.10058	 5.3269763e-09	 14.79389	 595.60981	 Fe hcp (Smith)
218	 0.0013594401	 438.10024	 6.7638033e-09	 14.793887	 595.60968	 Fe hcp (Smith)
222	 0.0014720757	 438.09985	 8.5881805e-09	 14.793884	 595.60953	 Fe hcp (Smith)
226	 0.0015940438	 438.09938	 1.090464e-08	 14.79388	 595.60934	 Fe hcp (Smith)
229	 0.0016921069	 438.09898	 1.3043495e-08	 14.793877	 595.60919	 Fe hcp (Smith)
232	 0.0017962028	 438.09853	 1.5601868e-08	 14.793873	 595.60901	 Fe hcp (Smith)
235	 0.0019067025	 438.09802	 1.8662045e-08	 14.793869	 595.60881	 Fe hcp (Smith)
238	 0.0020239999	 438.09744	 2.2322449e-08	 14.793865	 595.60859	 Fe hcp (Smith)
241	 0.0021485133	 438.0968	 2.670081e-08	 14.79386	 595.60834	 Fe hcp (Smith)
244	 0.0022806866	 438.09607	 3.1937949e-08	 14.793854	 595.60805	 Fe hcp (Smith)
247	 0.0024209911	 438.09525	 3.8202308e-08	 14.793847	 595.60773	 Fe hcp (Smith)
249	 0.0025192904	 438.09464	 4.3047175e-08	 14.793842	 595.60749	 Fe hcp (Smith)
251	 0.0026215809	 438.09399	 4.8506472e-08	 14.793837	 595.60724	 Fe hcp (Smith)
253	 0.0027280248	 438.09328	 5.4658124e-08	 14.793831	 595.60696	 Fe hcp (Smith)
255	 0.0028387906	 438.09251	 6.1589935e-08	 14.793825	 595.60666	 Fe hcp (Smith)
257	 0.0029540538	 438.09168	 6.9400845e-08	 14.793818	 595.60634	 Fe hcp (Smith)
259	 0.0030739971	 438.09078	 7.8202343e-08	 14.793811	 595.60599	 Fe hcp (Smith)
261	 0.0031988103	 438.08981	 8.8120055e-08	 14.793803	 595.60561	 Fe hcp (Smith)
263	 0.0033286914	 438.08875	 9.929554e-08	 14.793795	 595.60519	 Fe hcp (Smith)
265	 0.0034638461	 438.08761	 1.1188831e-07	 14.793786	 595.60475	 Fe hcp (Smith)
267	 0.0036044884	 438.08637	 1.2607811e-07	 14.793776	 595.60426	 Fe hcp (Smith)
269	 0.0037508412	 438.08503	 1.4206746e-07	 14.793765	 595.60374	 Fe hcp (Smith)
271	 0.0039031363	 438.08358	 1.600846e-07	 14.793753	 595.60317	 Fe hcp (Smith)
273	 0.0040616151	 438.08201	 1.8038668e-07	 14.793741	 595.60256	 Fe hcp (Smith)
275	 0.0042265286	 438.08031	 2.0326349e-07	 14.793727	 595.6019	 Fe hcp (Smith)
277	 0.0043981381	 438.07847	 2.2904154e-07	 14.793712	 595.60118	 Fe hcp (Smith)
279	 0.0045767154	 438.07648	 2.5808878e-07	 14.793696	 595.6004	 Fe hcp (Smith)
281	 0.0047625435	 438.07432	 2.9081979e-07	 14.793679	 595.59955	 Fe hcp (Smith)
283	 0.0049559168	 438.07198	 3.2770176e-07	 14.79366	 595.59864	 Fe hcp (Smith)
284	 0.0050555281	 438.07074	 3.4786135e-07	 14.79365	 595.59815	 Fe hcp (Smith)
285	 0.0051571416	 438.06944	 3.6926111e-07	 14.793639	 595.59765	 Fe hcp (Smith)
286	 0.0052607975	 438.0681	 3.9197733e-07	 14.793629	 595.59713	 Fe hcp (Smith)
287	 0.0053665368	 438.0667	 4.1609101e-07	 14.793617	 595.59658	 Fe hcp (Smith)
288	 0.0054744013	 438.06525	 4.416881e-07	 14.793606	 595.59601	 Fe hcp (Smith)
289	 0.005584434	 438.06373	 4.6885987e-07	 14.793594	 595.59542	 Fe hcp (Smith)
290	 0.0056966782	 438.06216	 4.9770319e-07	 14.793581	 595.5948	 Fe hcp (Smith)
291	 0.0058111785	 438.06052	 5.2832087e-07	 14.793568	 595.59416	 Fe hcp (Smith)
292	 0.0059279801	 438.05881	 5.6082208e-07	 14.793554	 595.5935	 Fe hcp (Smith)
293	 0.0060471294	 438.05704	 5.9532269e-07	 14.79354	 595.5928	 Fe hcp (Smith)
294	 0.0061686736	 438.05519	 6.3194568e-07	 14.793525	 595.59208	 Fe hcp (Smith)
295	 0.0062926608	 438.05327	 6.7082164e-07	 14.793509	 595.59133	 Fe hcp (Smith)
296	 0.00641914	 438.05126	 7.1208914e-07	 14.793493	 595.59055	 Fe hcp (Smith)
297	 0.0065481614	 438.04918	 7.5589531e-07	 14.793476	 595.58974	 Fe hcp (Smith)
298	 0.0066797761	 438.04702	 8.0239631e-07	 14.793459	 595.58889	 Fe hcp (Smith)
299	 0.0068140361	 438.04476	 8.5175794e-07	 14.793441	 595.58801	 Fe hcp (Smith)
300	 0.0069509947	 438.04242	 9.0415616e-07	 14.793422	 595.58709	 Fe hcp (Smith)
301	 0.0070907062	 438.03997	 9.5977777e-07	 14.793402	 595.58614	 Fe hcp (Smith)
302	 0.0072332257	 438.03743	 1.0188211e-06	 14.793382	 595.58515	 Fe hcp (Smith)
303	 0.0073786099	 438.03479	 1.0814965e-06	 14.793361	 595.58411	 Fe hcp (Smith)
304	 0.0075269162	 438.03204	 1.1480276e-06	 14.793339	 595.58304	 Fe hcp (Smith)
