Press (GPa)	Temp (K)	Density (g/cm^-3)	dT/dP (K/GPa)
1e-09	100.0	1.9544294585057167e-09	10000000000.0
1e-09	112.2018454301963	1.7487591505767182e-09	11220184543.01963
1e-09	125.89254117941675	1.6489215731508328e-09	12589254117.941675
1e-09	141.2537544622754	1.675212866679383e-09	39008495578.54751
1e-09	158.48931924611142	1.1800217167520017e-09	15848931924.611143
1e-09	177.82794100389228	1.8107145859426535e-09	34121269663.944843
1e-09	199.52623149688787	1.4108472630445137e-09	19952623149.68879
1e-09	223.872113856834	1.3347502165809529e-09	22387211385.6834
1e-09	251.18864315095797	1e-09	25118864315.0958
1e-09	281.8382931264455	1e-09	28183829312.644547
1e-09	316.22776601683796	1e-09	93507285500.11491
1e-09	354.8133892335753	1e-09	44869701202.47793
1e-09	398.1071705534973	1e-09	39810717055.34973
1e-09	446.683592150963	1e-09	44668359215.0963
1e-09	501.18723362727246	1e-09	75776001413.8082
1e-09	562.341325190349	1e-09	56234132519.034904
1e-09	630.957344480193	1e-09	63095734448.019295
1e-09	707.945784384138	1e-09	70794578438.4138
1e-09	794.3282347242813	1e-09	79432823472.42813
1e-09	891.2509381337459	1e-09	89125093813.37459
1e-09	1000.0	1e-09	100000000000.0
1e-09	1122.018454301963	1e-09	112201845430.19629
1e-09	1258.9254117941675	1e-09	201543887024.95187
1e-09	1412.537544622754	1e-09	141253754462.2754
1e-09	1584.893192461114	1e-09	158489319246.11142
1e-09	1778.2794100389228	1e-09	177827941003.8923
1e-09	1995.2623149688789	1e-09	199526231496.88788
1e-09	2238.72113856834	1e-09	223872113856.83398
1e-09	2511.88643150958	1e-09	251188643150.95798
1e-09	2818.382931264455	1e-09	281914389465.5896
1e-09	3162.2776601683795	1e-09	316227766016.83795
1e-09	3548.133892335753	1e-09	354813389233.5753
1e-09	3981.0717055349733	1e-09	398107170553.4973
1e-09	4466.835921509631	1e-09	446683592150.9631
1e-09	5011.872336272725	1e-09	501187233627.27246
1e-09	5623.413251903491	1e-09	562341325190.3491
1e-09	6309.57344480193	1e-09	630957344480.1931
1e-09	7079.457843841381	1e-09	707945784384.1381
1e-09	7943.282347242814	1e-09	2726523722408.7485
1e-09	8912.509381337459	1e-09	891250938133.7458
1e-09	10000.0	1e-09	999999999999.9999
1e-09	11220.18454301963	1e-09	1122018454301.963
1e-09	12589.254117941662	1e-09	1258925411794.1663
1e-09	14125.375446227554	1e-09	1412537544622.7554
1e-09	15848.93192461114	1e-09	1584893192461.1143
1e-09	17782.794100389227	1e-09	1778279410038.9226
1e-09	19952.62314968879	1e-09	1995262314968.8787
1e-09	22387.21138568338	1e-09	2238721138568.338
1e-09	25118.864315095823	1e-09	2511886431509.5825
1e-09	28183.82931264455	1e-09	2818382931264.455
1e-09	31622.776601683792	1e-09	3162277660168.3794
1e-09	35481.33892335753	1e-09	3548133892335.753
1e-09	39810.71705534969	1e-09	3981071705534.9688
1e-09	44668.359215096345	1e-09	4466835921509.634
1e-09	50118.72336272725	1e-09	5011872336272.725
1e-09	56234.13251903491	1e-09	5623413251903.49
1e-09	63095.7344480193	1e-09	6309573444801.93
1e-09	70794.57843841374	1e-09	7079457843841.373
1e-09	79432.82347242821	1e-09	7943282347242.82
1e-09	89125.0938133746	1e-09	8912509381337.46
1e-09	100000.0	1e-09	10000000000000.0
1e-09	112201.84543019629	1e-09	11220184543019.629
1e-09	125892.54117941661	1e-09	12589254117941.662
1e-09	141253.75446227554	1e-09	14125375446227.553
1e-09	158489.3192461114	1e-09	15848931924611.14
1e-09	177827.94100389228	1e-09	17782794100389.23
1e-09	199526.2314968879	1e-09	19952623149688.79
1e-09	223872.11385683378	1e-09	22387211385683.38
1e-09	251188.6431509582	1e-09	25118864315095.82
1e-09	281838.2931264455	1e-09	28183829312644.547
1e-09	316227.7660168379	1e-09	31622776601683.79
1e-09	354813.3892335753	1e-09	35481338923357.53
1e-09	398107.1705534969	1e-09	39810717055349.695
1e-09	446683.5921509635	1e-09	44668359215096.35
1e-09	501187.2336272725	1e-09	50118723362727.25
1e-09	562341.3251903491	1e-09	56234132519034.914
1e-09	630957.344480193	1e-09	63095734448019.3
1e-09	707945.7843841374	1e-09	70794578438413.73
1e-09	794328.2347242822	1e-09	79432823472428.22
1e-09	891250.9381337459	1e-09	89125093813374.6
1e-09	1000000.0	1e-09	100000000000000.0
1e-09	1122018.4543019629	1e-09	112201845430196.28
1e-09	1258925.411794166	1e-09	125892541179416.61
1e-09	1412537.5446227554	1e-09	141253754462275.53
1e-09	1584893.1924611141	1e-09	561255056459869.3
1e-09	1778279.410038923	1e-09	177827941003892.3
1e-09	1995262.3149688789	1e-09	199526231496887.88
1e-09	2238721.138568338	1e-09	508059852628975.75
1e-09	2511886.4315095823	1e-09	251188643150958.22
1e-09	2818382.931264455	1e-09	281838293126445.5
1e-09	3162277.6601683795	1e-09	316227766016837.94
1e-09	3548133.892335753	1e-09	354813389233575.3
1e-09	3981071.7055349695	1e-09	398107170553496.94
1e-09	4466835.921509635	1e-09	446683592150963.44
1e-09	5011872.336272725	1e-09	501187233627272.5
1e-09	5623413.251903491	1e-09	562341325190349.1
1e-09	6309573.44480193	1e-09	630957344480193.1
1e-09	7079457.843841373	1e-09	707945784384137.4
1e-09	7943282.347242822	1e-09	794328234724282.2
1e-09	8912509.381337458	1e-09	891250938133745.9
