Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 338.3953672300046	 0	 12.81117955758669	 9875.526926290855	 Fe liquid (Dorogokupets)
1	 1.929372570979511e-05	 338.3953668826065	 1.674424835069154e-14	 12.81117955364373	 9875.526925670079	 Fe liquid (Dorogokupets)
2	 1.929372570979511e-05	 338.3953668826065	 1.674424835069154e-14	 12.81117955364373	 9875.526925670079	 Fe liquid (Dorogokupets)
3	 1.973915689297382e-05	 338.3953668663806	 1.793094397159022e-14	 12.8111795534734	 9875.52692553791	 Fe liquid (Dorogokupets)
4	 2.016534412840253e-05	 338.3953668505092	 1.911763959248891e-14	 12.81117955330679	 9875.526925408625	 Fe liquid (Dorogokupets)
5	 2.057424021073798e-05	 338.3953668349629	 2.030433521338759e-14	 12.8111795531436	 9875.526925281991	 Fe liquid (Dorogokupets)
6	 2.09882205550899e-05	 338.3953668189055	 2.155481077497414e-14	 12.81117955297504	 9875.526925151193	 Fe liquid (Dorogokupets)
7	 2.141012913429431e-05	 338.3953668022114	 2.288101136327717e-14	 12.81117955279979	 9875.526925015209	 Fe liquid (Dorogokupets)
8	 2.184046843970883e-05	 338.3953667848415	 2.428864031452497e-14	 12.81117955261745	 9875.526924873719	 Fe liquid (Dorogokupets)
9	 2.227945111161818e-05	 338.3953667667665	 2.57828438245986e-14	 12.81117955242772	 9875.526924726486	 Fe liquid (Dorogokupets)
10	 2.272725631709251e-05	 338.3953667479577	 2.736896576690278e-14	 12.81117955223027	 9875.526924573276	 Fe liquid (Dorogokupets)
11	 2.318406206981819e-05	 338.3953667283852	 2.905266317629535e-14	 12.81117955202481	 9875.526924413845	 Fe liquid (Dorogokupets)
12	 2.365004936216121e-05	 338.3953667080179	 3.083993905546253e-14	 12.81117955181101	 9875.526924247941	 Fe liquid (Dorogokupets)
13	 2.412540274920262e-05	 338.3953666868238	 3.273716543611676e-14	 12.81117955158853	 9875.5269240753	 Fe liquid (Dorogokupets)
14	 2.461031048469335e-05	 338.395366664769	 3.475110630724433e-14	 12.81117955135701	 9875.52692389565	 Fe liquid (Dorogokupets)
15	 2.510496460814435e-05	 338.3953666418188	 3.688894177693119e-14	 12.81117955111609	 9875.526923708705	 Fe liquid (Dorogokupets)
16	 2.560956101620918e-05	 338.3953666179368	 3.91582936511902e-14	 12.8111795508654	 9875.52692351417	 Fe liquid (Dorogokupets)
17	 2.612429954179173e-05	 338.395366593085	 4.156725261214305e-14	 12.81117955060452	 9875.526923311736	 Fe liquid (Dorogokupets)
18	 2.664938403775028e-05	 338.3953665672242	 4.412440708442679e-14	 12.81117955033305	 9875.526923101083	 Fe liquid (Dorogokupets)
19	 2.718502245212945e-05	 338.3953665403134	 4.683887382946299e-14	 12.81117955005055	 9875.526922881876	 Fe liquid (Dorogokupets)
20	 2.773142691254621e-05	 338.3953665123099	 4.972033045737676e-14	 12.81117954975659	 9875.526922653769	 Fe liquid (Dorogokupets)
21	 2.828881381124707e-05	 338.3953664831694	 5.277904993535189e-14	 12.81117954945069	 9875.5269224164	 Fe liquid (Dorogokupets)
22	 2.885740389000092e-05	 338.3953664528457	 5.60259372091577e-14	 12.81117954913237	 9875.526922169394	 Fe liquid (Dorogokupets)
23	 2.943742232695183e-05	 338.3953664212908	 5.947256807822892e-14	 12.81117954880113	 9875.526921912358	 Fe liquid (Dorogokupets)
24	 3.002909882575841e-05	 338.3953663884547	 6.313123046500676e-14	 12.81117954845644	 9875.526921644885	 Fe liquid (Dorogokupets)
25	 3.063266770662513e-05	 338.3953663542853	 6.701496822368981e-14	 12.81117954809775	 9875.526921366552	 Fe liquid (Dorogokupets)
26	 3.12483680014848e-05	 338.3953663187285	 7.113762765993577e-14	 12.8111795477245	 9875.526921076918	 Fe liquid (Dorogokupets)
27	 3.187644354301855e-05	 338.395366281728	 7.551390685826791e-14	 12.81117954733609	 9875.526920775525	 Fe liquid (Dorogokupets)
28	 3.251714306798736e-05	 338.3953662432252	 8.01594081286619e-14	 12.81117954693191	 9875.526920461893	 Fe liquid (Dorogokupets)
29	 3.317072031249952e-05	 338.3953662031591	 8.50906936113699e-14	 12.81117954651133	 9875.526920135528	 Fe liquid (Dorogokupets)
30	 3.383743411046165e-05	 338.3953661614662	 9.032534430784626e-14	 12.81117954607366	 9875.526919795911	 Fe liquid (Dorogokupets)
31	 3.45175485014489e-05	 338.3953661180804	 9.588202280185258e-14	 12.81117954561822	 9875.526919442505	 Fe liquid (Dorogokupets)
32	 3.521133282756719e-05	 338.395366072933	 1.017805397336776e-13	 12.81117954514429	 9875.526919074749	 Fe liquid (Dorogokupets)
33	 3.591906184947258e-05	 338.3953660259526	 1.08041924505813e-13	 12.81117954465112	 9875.526918692061	 Fe liquid (Dorogokupets)
34	 3.664101584747751e-05	 338.3953659770646	 1.146885001930609e-13	 12.81117954413793	 9875.526918293835	 Fe liquid (Dorogokupets)
35	 3.737748073760958e-05	 338.3953659261915	 1.217439631730885e-13	 12.8111795436039	 9875.526917879441	 Fe liquid (Dorogokupets)
36	 3.812874817814141e-05	 338.3953658732529	 1.292334675448382e-13	 12.81117954304818	 9875.52691744822	 Fe liquid (Dorogokupets)
37	 3.889511569374292e-05	 338.3953658181648	 1.371837148904707e-13	 12.8111795424699	 9875.52691699949	 Fe liquid (Dorogokupets)
38	 3.967688678700998e-05	 338.39536576084	 1.456230494108753e-13	 12.81117954186814	 9875.526916532541	 Fe liquid (Dorogokupets)
39	 4.047437106441309e-05	 338.3953657011876	 1.545815590397596e-13	 12.81117954124195	 9875.526916046632	 Fe liquid (Dorogokupets)
40	 4.128788435028536e-05	 338.3953656391132	 1.640911826184316e-13	 12.81117954059033	 9875.526915540993	 Fe liquid (Dorogokupets)
41	 4.211774881998639e-05	 338.3953655745183	 1.741858238529326e-13	 12.81117953991225	 9875.526915014825	 Fe liquid (Dorogokupets)
42	 4.296429312202745e-05	 338.3953655073007	 1.84901472124217e-13	 12.81117953920665	 9875.526914467293	 Fe liquid (Dorogokupets)
43	 4.382785251513981e-05	 338.3953654373539	 1.962763308843084e-13	 12.81117953847239	 9875.526913897529	 Fe liquid (Dorogokupets)
44	 4.470876899064294e-05	 338.3953653645671	 2.08350953725644e-13	 12.81117953770832	 9875.526913304631	 Fe liquid (Dorogokupets)
45	 4.56073914174944e-05	 338.3953652888248	 2.211683890866078e-13	 12.81117953691323	 9875.526912687659	 Fe liquid (Dorogokupets)
46	 4.652407567597004e-05	 338.3953652100072	 2.347743336702602e-13	 12.81117953608585	 9875.526912045638	 Fe liquid (Dorogokupets)
47	 4.745918480030685e-05	 338.3953651279895	 2.492172953869005e-13	 12.81117953522488	 9875.526911377548	 Fe liquid (Dorogokupets)
48	 4.841308912046855e-05	 338.3953650426415	 2.645487662645419e-13	 12.81117953432895	 9875.526910682333	 Fe liquid (Dorogokupets)
49	 4.938616640627139e-05	 338.3953649538282	 2.808234059817428e-13	 12.81117953339664	 9875.526909958888	 Fe liquid (Dorogokupets)
50	 5.037880202790082e-05	 338.3953648614087	 2.980992369216538e-13	 12.81117953242649	 9875.52690920607	 Fe liquid (Dorogokupets)
51	 5.139138909455617e-05	 338.3953647652368	 3.164378508004318e-13	 12.81117953141693	 9875.526908422686	 Fe liquid (Dorogokupets)
52	 5.24243286226433e-05	 338.3953646651601	 3.359046284707123e-13	 12.81117953036639	 9875.526907607493	 Fe liquid (Dorogokupets)
53	 5.347802968540059e-05	 338.3953645610198	 3.565689728553875e-13	 12.81117952927319	 9875.526906759202	 Fe liquid (Dorogokupets)
54	 5.455290957880653e-05	 338.3953644526513	 3.785045564514729e-13	 12.81117952813561	 9875.526905876466	 Fe liquid (Dorogokupets)
55	 5.564939398410457e-05	 338.3953643398827	 4.017895839302368e-13	 12.81117952695184	 9875.526904957889	 Fe liquid (Dorogokupets)
56	 5.676791714309706e-05	 338.3953642225352	 4.265070710943841e-13	 12.81117952572	 9875.526904002016	 Fe liquid (Dorogokupets)
57	 5.790892202112152e-05	 338.3953641004232	 4.527451406548577e-13	 12.81117952443814	 9875.52690300733	 Fe liquid (Dorogokupets)
58	 5.907286048654218e-05	 338.395363973353	 4.805973364849293e-13	 12.81117952310424	 9875.526901972258	 Fe liquid (Dorogokupets)
59	 6.026019349498944e-05	 338.3953638411234	 5.101629572545696e-13	 12.81117952171618	 9875.52690089516	 Fe liquid (Dorogokupets)
60	 6.147139126731742e-05	 338.3953637035249	 5.415474103527263e-13	 12.81117952027176	 9875.526899774328	 Fe liquid (Dorogokupets)
61	 6.270693346747411e-05	 338.3953635603395	 5.748625874584573e-13	 12.81117951876869	 9875.526898607986	 Fe liquid (Dorogokupets)
62	 6.396730940512043e-05	 338.3953634113404	 6.102272637761095e-13	 12.81117951720459	 9875.526897394288	 Fe liquid (Dorogokupets)
