Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 23828.887	 0	 56.515621	 50034.988	 Fe hcp (Smith)
234	 0.0011956714	 23828.861	 1.7580537e-08	 56.515594	 50034.979	 Fe hcp (Smith)
269	 0.0023993857	 23828.783	 1.4206806e-07	 56.51551	 50034.954	 Fe hcp (Smith)
290	 0.003644123	 23828.646	 4.9770802e-07	 56.515366	 50034.909	 Fe hcp (Smith)
305	 0.004911689	 23828.449	 1.218673e-06	 56.515157	 50034.845	 Fe hcp (Smith)
316	 0.0061136224	 23828.209	 2.3501158e-06	 56.514903	 50034.766	 Fe hcp (Smith)
325	 0.0073127602	 23827.916	 4.0219438e-06	 56.514593	 50034.67	 Fe hcp (Smith)
333	 0.0085747515	 23827.552	 6.4841768e-06	 56.514208	 50034.552	 Fe hcp (Smith)
340	 0.0098564208	 23827.123	 9.8479501e-06	 56.513754	 50034.411	 Fe hcp (Smith)
346	 0.011106428	 23826.647	 1.4089937e-05	 56.51325	 50034.256	 Fe hcp (Smith)
352	 0.012514964	 23826.043	 2.0159126e-05	 56.51261	 50034.059	 Fe hcp (Smith)
357	 0.013824273	 23825.417	 2.7171066e-05	 56.511948	 50033.854	 Fe hcp (Smith)
362	 0.015270561	 23824.653	 3.6621912e-05	 56.511139	 50033.604	 Fe hcp (Smith)
366	 0.016535798	 23823.922	 4.6499465e-05	 56.510365	 50033.366	 Fe hcp (Smith)
370	 0.017905866	 23823.065	 5.9041084e-05	 56.509458	 50033.086	 Fe hcp (Smith)
374	 0.019389452	 23822.06	 7.4965255e-05	 56.508395	 50032.758	 Fe hcp (Smith)
377	 0.020582266	 23821.194	 8.966827e-05	 56.507478	 50032.475	 Fe hcp (Smith)
380	 0.021848462	 23820.219	 0.00010725488	 56.506446	 50032.156	 Fe hcp (Smith)
383	 0.023192553	 23819.12	 0.00012829058	 56.505282	 50031.797	 Fe hcp (Smith)
386	 0.024619332	 23817.881	 0.00015345175	 56.503971	 50031.392	 Fe hcp (Smith)
389	 0.026133886	 23816.486	 0.00018354738	 56.502494	 50030.936	 Fe hcp (Smith)
392	 0.027741615	 23814.913	 0.0002195451	 56.500829	 50030.422	 Fe hcp (Smith)
395	 0.029448251	 23813.141	 0.00026260223	 56.498953	 50029.843	 Fe hcp (Smith)
397	 0.030643947	 23811.837	 0.00029590181	 56.497572	 50029.417	 Fe hcp (Smith)
399	 0.031888193	 23810.425	 0.00033342361	 56.496077	 50028.955	 Fe hcp (Smith)
401	 0.03318296	 23808.895	 0.00037570289	 56.494458	 50028.455	 Fe hcp (Smith)
403	 0.034530301	 23807.24	 0.00042334277	 56.492705	 50027.914	 Fe hcp (Smith)
405	 0.035932349	 23805.447	 0.0004770228	 56.490806	 50027.328	 Fe hcp (Smith)
407	 0.037391327	 23803.505	 0.00053750864	 56.488751	 50026.693	 Fe hcp (Smith)
409	 0.038909546	 23801.403	 0.00060566299	 56.486525	 50026.005	 Fe hcp (Smith)
411	 0.040489411	 23799.127	 0.00068245784	 56.484114	 50025.261	 Fe hcp (Smith)
413	 0.042133427	 23796.662	 0.00076898835	 56.481504	 50024.455	 Fe hcp (Smith)
415	 0.043844198	 23793.993	 0.00086648842	 56.478678	 50023.582	 Fe hcp (Smith)
417	 0.045624436	 23791.104	 0.00097634827	 56.475618	 50022.637	 Fe hcp (Smith)
419	 0.04747696	 23787.975	 0.0011001342	 56.472304	 50021.613	 Fe hcp (Smith)
421	 0.049404707	 23784.588	 0.0012396109	 56.468716	 50020.504	 Fe hcp (Smith)
423	 0.051410732	 23780.92	 0.0013967666	 56.464831	 50019.304	 Fe hcp (Smith)
425	 0.053498213	 23776.948	 0.0015738411	 56.460624	 50018.004	 Fe hcp (Smith)
427	 0.055670459	 23772.648	 0.0017733581	 56.456068	 50016.596	 Fe hcp (Smith)
429	 0.057930912	 23767.993	 0.0019981605	 56.451135	 50015.071	 Fe hcp (Smith)
431	 0.060283154	 23762.952	 0.0022514512	 56.445794	 50013.42	 Fe hcp (Smith)
432	 0.061494855	 23760.278	 0.00238989	 56.44296	 50012.544	 Fe hcp (Smith)
433	 0.062730914	 23757.495	 0.0025368383	 56.440011	 50011.632	 Fe hcp (Smith)
434	 0.063991819	 23754.599	 0.0026928189	 56.436943	 50010.683	 Fe hcp (Smith)
435	 0.06527807	 23751.586	 0.0028583866	 56.433749	 50009.695	 Fe hcp (Smith)
436	 0.066590177	 23748.451	 0.0030341303	 56.430426	 50008.668	 Fe hcp (Smith)
437	 0.06792866	 23745.189	 0.0032206749	 56.426969	 50007.598	 Fe hcp (Smith)
438	 0.069294049	 23741.795	 0.003418684	 56.423371	 50006.485	 Fe hcp (Smith)
439	 0.070686885	 23738.264	 0.0036288615	 56.419627	 50005.327	 Fe hcp (Smith)
440	 0.07210772	 23734.589	 0.0038519546	 56.415732	 50004.122	 Fe hcp (Smith)
441	 0.073557117	 23730.766	 0.0040887565	 56.411678	 50002.867	 Fe hcp (Smith)
442	 0.07503565	 23726.788	 0.0043401088	 56.40746	 50001.562	 Fe hcp (Smith)
443	 0.076543905	 23722.649	 0.0046069049	 56.403071	 50000.204	 Fe hcp (Smith)
444	 0.078082479	 23718.342	 0.0048900928	 56.398504	 49998.79	 Fe hcp (Smith)
445	 0.079651983	 23713.861	 0.0051906787	 56.393751	 49997.319	 Fe hcp (Smith)
446	 0.081253038	 23709.199	 0.0055097304	 56.388806	 49995.788	 Fe hcp (Smith)
447	 0.082886278	 23704.348	 0.0058483813	 56.383661	 49994.194	 Fe hcp (Smith)
448	 0.084552351	 23699.301	 0.006207834	 56.378307	 49992.536	 Fe hcp (Smith)
449	 0.086251917	 23694.049	 0.006589365	 56.372735	 49990.81	 Fe hcp (Smith)
450	 0.08798565	 23688.586	 0.0069943288	 56.366938	 49989.014	 Fe hcp (Smith)
451	 0.089754236	 23682.901	 0.007424163	 56.360906	 49987.145	 Fe hcp (Smith)
452	 0.091558376	 23676.987	 0.007880393	 56.354629	 49985.2	 Fe hcp (Smith)
453	 0.093398786	 23670.833	 0.0083646378	 56.348098	 49983.176	 Fe hcp (Smith)
454	 0.095276194	 23664.431	 0.0088786154	 56.341302	 49981.069	 Fe hcp (Smith)
455	 0.097191345	 23657.77	 0.0094241488	 56.334231	 49978.876	 Fe hcp (Smith)
456	 0.099144997	 23650.841	 0.010003173	 56.326873	 49976.595	 Fe hcp (Smith)
457	 0.10113793	 23643.631	 0.01061774	 56.319217	 49974.22	 Fe hcp (Smith)
458	 0.10317092	 23636.13	 0.011270029	 56.311251	 49971.748	 Fe hcp (Smith)
459	 0.10524478	 23628.326	 0.011962351	 56.302962	 49969.176	 Fe hcp (Smith)
460	 0.10736034	 23620.208	 0.01269716	 56.294338	 49966.499	 Fe hcp (Smith)
461	 0.10951843	 23611.762	 0.013477057	 56.285363	 49963.713	 Fe hcp (Smith)
462	 0.11171991	 23602.975	 0.014304805	 56.276026	 49960.813	 Fe hcp (Smith)
463	 0.11396565	 23593.834	 0.015183334	 56.26631	 49957.795	 Fe hcp (Smith)
464	 0.11625653	 23584.324	 0.016115753	 56.256201	 49954.654	 Fe hcp (Smith)
465	 0.11859348	 23574.431	 0.01710536	 56.245683	 49951.385	 Fe hcp (Smith)
466	 0.1209774	 23564.139	 0.018155656	 56.234738	 49947.983	 Fe hcp (Smith)
467	 0.12340926	 23553.433	 0.019270353	 56.223351	 49944.442	 Fe hcp (Smith)
468	 0.12589001	 23542.295	 0.020453393	 56.211503	 49940.756	 Fe hcp (Smith)
469	 0.12842063	 23530.71	 0.021708953	 56.199175	 49936.92	 Fe hcp (Smith)
470	 0.13100213	 23518.658	 0.023041469	 56.186348	 49932.927	 Fe hcp (Smith)
471	 0.13363553	 23506.121	 0.024455645	 56.173003	 49928.772	 Fe hcp (Smith)
472	 0.13632188	 23493.08	 0.02595647	 56.159117	 49924.446	 Fe hcp (Smith)
473	 0.13906223	 23479.516	 0.027549238	 56.14467	 49919.944	 Fe hcp (Smith)
474	 0.14185768	 23465.406	 0.029239566	 56.129639	 49915.258	 Fe hcp (Smith)
475	 0.14470933	 23450.729	 0.031033408	 56.114	 49910.381	 Fe hcp (Smith)
476	 0.14761832	 23435.464	 0.032937085	 56.097729	 49905.304	 Fe hcp (Smith)
477	 0.15058579	 23419.586	 0.034957296	 56.0808	 49900.02	 Fe hcp (Smith)
478	 0.15361292	 23403.071	 0.037101151	 56.063187	 49894.519	 Fe hcp (Smith)
479	 0.15670091	 23385.895	 0.039376187	 56.044862	 49888.794	 Fe hcp (Smith)
480	 0.15985098	 23368.03	 0.0417904	 56.025797	 49882.834	 Fe hcp (Smith)
481	 0.16306438	 23349.451	 0.04435227	 56.005962	 49876.63	 Fe hcp (Smith)
482	 0.16634238	 23330.128	 0.047070787	 55.985327	 49870.173	 Fe hcp (Smith)
483	 0.16968628	 23310.032	 0.049955487	 55.963858	 49863.45	 Fe hcp (Smith)
484	 0.17309741	 23289.133	 0.053016482	 55.941523	 49856.453	 Fe hcp (Smith)
485	 0.17657711	 23267.4	 0.056264491	 55.918287	 49849.168	 Fe hcp (Smith)
486	 0.18012676	 23244.8	 0.059710883	 55.894114	 49841.585	 Fe hcp (Smith)
487	 0.18374776	 23221.298	 0.063367708	 55.868966	 49833.691	 Fe hcp (Smith)
488	 0.18744155	 23196.86	 0.067247743	 55.842804	 49825.473	 Fe hcp (Smith)
489	 0.19120959	 23171.449	 0.071364533	 55.815589	 49816.917	 Fe hcp (Smith)
490	 0.19505336	 23145.027	 0.075732435	 55.787276	 49808.011	 Fe hcp (Smith)
491	 0.1989744	 23117.555	 0.080366667	 55.757824	 49798.738	 Fe hcp (Smith)
492	 0.20297423	 23088.992	 0.085283359	 55.727186	 49789.084	 Fe hcp (Smith)
493	 0.20705445	 23059.297	 0.090499607	 55.695315	 49779.033	 Fe hcp (Smith)
494	 0.21121666	 23028.424	 0.096033525	 55.662162	 49768.569	 Fe hcp (Smith)
495	 0.21546251	 22996.329	 0.10190431	 55.627676	 49757.673	 Fe hcp (Smith)
496	 0.21979367	 22962.964	 0.1081323	 55.591805	 49746.329	 Fe hcp (Smith)
497	 0.22421184	 22928.282	 0.11473905	 55.554492	 49734.518	 Fe hcp (Smith)
498	 0.22871877	 22892.231	 0.12174739	 55.515681	 49722.22	 Fe hcp (Smith)
499	 0.23331623	 22854.76	 0.12918149	 55.475312	 49709.414	 Fe hcp (Smith)
500	 0.23800602	 22815.814	 0.13706698	 55.433324	 49696.079	 Fe hcp (Smith)
501	 0.24279	 22775.337	 0.14543097	 55.389653	 49682.194	 Fe hcp (Smith)
502	 0.24767003	 22733.272	 0.1543022	 55.344232	 49667.735	 Fe hcp (Smith)
503	 0.25264803	 22689.558	 0.16371108	 55.296993	 49652.678	 Fe hcp (Smith)
504	 0.25772596	 22644.134	 0.1736898	 55.247863	 49636.998	 Fe hcp (Smith)
505	 0.26290579	 22596.936	 0.18427245	 55.196769	 49620.668	 Fe hcp (Smith)
506	 0.26818954	 22547.896	 0.1954951	 55.143632	 49603.662	 Fe hcp (Smith)
507	 0.27357929	 22496.948	 0.20739593	 55.088374	 49585.95	 Fe hcp (Smith)
508	 0.27907713	 22444.02	 0.22001533	 55.030911	 49567.502	 Fe hcp (Smith)
509	 0.28468519	 22389.04	 0.23339604	 54.971158	 49548.289	 Fe hcp (Smith)
510	 0.29040566	 22331.931	 0.24758324	 54.909023	 49528.277	 Fe hcp (Smith)
511	 0.29624075	 22272.618	 0.26262475	 54.844416	 49507.431	 Fe hcp (Smith)
512	 0.30219271	 22211.019	 0.27857108	 54.777241	 49485.718	 Fe hcp (Smith)
513	 0.30826383	 22147.052	 0.29547568	 54.707397	 49463.099	 Fe hcp (Smith)
514	 0.31445646	 22080.632	 0.313395	 54.634781	 49439.537	 Fe hcp (Smith)
515	 0.32077296	 22011.672	 0.3323887	 54.559288	 49414.991	 Fe hcp (Smith)
516	 0.32721575	 21940.082	 0.35251981	 54.480805	 49389.418	 Fe hcp (Smith)
517	 0.33378728	 21865.769	 0.37385489	 54.399219	 49362.775	 Fe hcp (Smith)
518	 0.34049005	 21788.638	 0.39646423	 54.314412	 49335.016	 Fe hcp (Smith)
519	 0.34732658	 21708.592	 0.420422	 54.226259	 49306.093	 Fe hcp (Smith)
520	 0.35429946	 21625.53	 0.44580648	 54.134635	 49275.955	 Fe hcp (Smith)
521	 0.36141128	 21539.35	 0.47270025	 54.039409	 49244.551	 Fe hcp (Smith)
522	 0.36866471	 21449.946	 0.50119038	 53.940443	 49211.825	 Fe hcp (Smith)
