Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 23902.44	 0	 56.921378	 14820.555	 Fe hcp (Smith)
231	 0.0011236955	 23902.417	 1.4697703e-08	 56.921353	 14820.553	 Fe hcp (Smith)
266	 0.0022549498	 23902.346	 1.1877193e-07	 56.921279	 14820.546	 Fe hcp (Smith)
287	 0.0034247575	 23902.224	 4.160946e-07	 56.92115	 14820.534	 Fe hcp (Smith)
302	 0.0046160197	 23902.047	 1.018837e-06	 56.920964	 14820.518	 Fe hcp (Smith)
313	 0.0057456003	 23901.832	 1.9647483e-06	 56.920737	 14820.497	 Fe hcp (Smith)
322	 0.0068725534	 23901.57	 3.3624344e-06	 56.92046	 14820.472	 Fe hcp (Smith)
330	 0.0080585764	 23901.244	 5.4209182e-06	 56.920117	 14820.441	 Fe hcp (Smith)
337	 0.0092630929	 23900.859	 8.2331128e-06	 56.919711	 14820.405	 Fe hcp (Smith)
343	 0.010437853	 23900.433	 1.1779518e-05	 56.919262	 14820.364	 Fe hcp (Smith)
349	 0.011761599	 23899.891	 1.6853514e-05	 56.918691	 14820.313	 Fe hcp (Smith)
354	 0.012992091	 23899.33	 2.2715682e-05	 56.9181	 14820.259	 Fe hcp (Smith)
359	 0.014351316	 23898.646	 3.0616851e-05	 56.917378	 14820.194	 Fe hcp (Smith)
363	 0.015540389	 23897.991	 3.887477e-05	 56.916688	 14820.132	 Fe hcp (Smith)
367	 0.016827983	 23897.223	 4.9359943e-05	 56.915879	 14820.059	 Fe hcp (Smith)
371	 0.01822226	 23896.323	 6.2673055e-05	 56.91493	 14819.973	 Fe hcp (Smith)
374	 0.01934327	 23895.547	 7.4965264e-05	 56.914112	 14819.9	 Fe hcp (Smith)
377	 0.020533244	 23894.673	 8.9668282e-05	 56.913191	 14819.817	 Fe hcp (Smith)
380	 0.021796424	 23893.688	 0.0001072549	 56.912153	 14819.723	 Fe hcp (Smith)
383	 0.023137313	 23892.579	 0.0001282906	 56.910983	 14819.617	 Fe hcp (Smith)
386	 0.024560694	 23891.328	 0.00015345178	 56.909665	 14819.498	 Fe hcp (Smith)
389	 0.026071641	 23889.919	 0.00018354743	 56.908179	 14819.364	 Fe hcp (Smith)
392	 0.02767554	 23888.332	 0.00021954516	 56.906505	 14819.213	 Fe hcp (Smith)
394	 0.028799257	 23887.163	 0.00024738522	 56.905273	 14819.102	 Fe hcp (Smith)
396	 0.029968601	 23885.898	 0.00027875535	 56.903939	 14818.982	 Fe hcp (Smith)
398	 0.031185425	 23884.527	 0.00031410308	 56.902494	 14818.851	 Fe hcp (Smith)
400	 0.032451657	 23883.044	 0.00035393268	 56.90093	 14818.71	 Fe hcp (Smith)
402	 0.033769304	 23881.437	 0.00039881233	 56.899236	 14818.557	 Fe hcp (Smith)
404	 0.035140452	 23879.698	 0.00044938224	 56.897402	 14818.392	 Fe hcp (Smith)
406	 0.036567275	 23877.814	 0.00050636371	 56.895416	 14818.213	 Fe hcp (Smith)
408	 0.038052034	 23875.774	 0.00057056949	 56.893265	 14818.018	 Fe hcp (Smith)
410	 0.039597081	 23873.566	 0.0006429153	 56.890936	 14817.808	 Fe hcp (Smith)
412	 0.041204864	 23871.175	 0.00072443288	 56.888414	 14817.581	 Fe hcp (Smith)
414	 0.042877931	 23868.585	 0.00081628469	 56.885683	 14817.334	 Fe hcp (Smith)
416	 0.044618933	 23865.782	 0.00091978047	 56.882727	 14817.067	 Fe hcp (Smith)
418	 0.046430628	 23862.746	 0.0010363959	 56.879525	 14816.778	 Fe hcp (Smith)
420	 0.048315889	 23859.459	 0.0011677934	 56.876058	 14816.465	 Fe hcp (Smith)
422	 0.050277701	 23855.901	 0.0013158463	 56.872304	 14816.126	 Fe hcp (Smith)
424	 0.052319175	 23852.048	 0.0014826647	 56.868239	 14815.759	 Fe hcp (Smith)
426	 0.054443544	 23847.876	 0.0016706262	 56.863838	 14815.361	 Fe hcp (Smith)
428	 0.056654177	 23843.358	 0.0018824094	 56.859072	 14814.931	 Fe hcp (Smith)
429	 0.057792931	 23840.962	 0.0019981628	 56.856543	 14814.702	 Fe hcp (Smith)
430	 0.058954575	 23838.468	 0.0021210319	 56.853911	 14814.465	 Fe hcp (Smith)
431	 0.06013957	 23835.873	 0.0022514539	 56.851173	 14814.217	 Fe hcp (Smith)
432	 0.061348386	 23833.173	 0.002389893	 56.848323	 14813.96	 Fe hcp (Smith)
433	 0.0625815	 23830.363	 0.0025368417	 56.845358	 14813.692	 Fe hcp (Smith)
434	 0.063839402	 23827.44	 0.0026928226	 56.842273	 14813.413	 Fe hcp (Smith)
435	 0.065122589	 23824.398	 0.0028583907	 56.839062	 14813.123	 Fe hcp (Smith)
436	 0.066431571	 23821.233	 0.0030341348	 56.835721	 14812.821	 Fe hcp (Smith)
437	 0.067766866	 23817.94	 0.0032206799	 56.832245	 14812.506	 Fe hcp (Smith)
438	 0.069129003	 23814.513	 0.0034186895	 56.828628	 14812.179	 Fe hcp (Smith)
439	 0.070518522	 23810.948	 0.0036288676	 56.824864	 14811.839	 Fe hcp (Smith)
440	 0.071935972	 23807.238	 0.0038519614	 56.820947	 14811.485	 Fe hcp (Smith)
441	 0.073381917	 23803.378	 0.004088764	 56.816871	 14811.116	 Fe hcp (Smith)
442	 0.074856928	 23799.362	 0.0043401171	 56.812631	 14810.733	 Fe hcp (Smith)
443	 0.07636159	 23795.183	 0.004606914	 56.808218	 14810.333	 Fe hcp (Smith)
444	 0.0778965	 23790.835	 0.0048901028	 56.803626	 14809.918	 Fe hcp (Smith)
445	 0.079462265	 23786.311	 0.0051906898	 56.798848	 14809.486	 Fe hcp (Smith)
446	 0.081059507	 23781.604	 0.0055097427	 56.793876	 14809.036	 Fe hcp (Smith)
447	 0.082688857	 23776.706	 0.0058483948	 56.788702	 14808.567	 Fe hcp (Smith)
448	 0.084350961	 23771.611	 0.006207849	 56.783319	 14808.08	 Fe hcp (Smith)
449	 0.086046479	 23766.309	 0.0065893816	 56.777718	 14807.573	 Fe hcp (Smith)
450	 0.087776082	 23760.793	 0.0069943471	 56.771889	 14807.045	 Fe hcp (Smith)
451	 0.089540456	 23755.054	 0.0074241832	 56.765824	 14806.496	 Fe hcp (Smith)
