Index	 Radius (earth)	 P (GPa)	 M (earth)	 Density (g cm^-3)	 T (K)	 Phase
0	 0	 110257.84	 0	 119.61654	 122525.48	 Fe hcp (Smith)
208	 0.00055509254	 110257.81	 3.7231936e-09	 119.61653	 122525.48	 Fe hcp (Smith)
243	 0.001113919	 110257.73	 3.0087091e-08	 119.61648	 122525.47	 Fe hcp (Smith)
264	 0.0016917904	 110257.6	 1.0540442e-07	 119.6164	 122525.45	 Fe hcp (Smith)
279	 0.00228026	 110257.41	 2.5809052e-07	 119.61629	 122525.43	 Fe hcp (Smith)
290	 0.0028382595	 110257.18	 4.9770838e-07	 119.61616	 122525.4	 Fe hcp (Smith)
299	 0.0033949611	 110256.9	 8.5177065e-07	 119.61599	 122525.37	 Fe hcp (Smith)
307	 0.0039808423	 110256.55	 1.3732283e-06	 119.61578	 122525.33	 Fe hcp (Smith)
314	 0.004575859	 110256.13	 2.08562e-06	 119.61554	 122525.28	 Fe hcp (Smith)
320	 0.0051561764	 110255.67	 2.9840082e-06	 119.61527	 122525.23	 Fe hcp (Smith)
326	 0.0058100907	 110255.09	 4.2693788e-06	 119.61492	 122525.16	 Fe hcp (Smith)
331	 0.0064179382	 110254.48	 5.754423e-06	 119.61457	 122525.09	 Fe hcp (Smith)
336	 0.0070893784	 110253.75	 7.7560164e-06	 119.61413	 122525.01	 Fe hcp (Smith)
340	 0.0076767653	 110253.04	 9.8480019e-06	 119.61372	 122524.93	 Fe hcp (Smith)
344	 0.0083128199	 110252.21	 1.2504243e-05	 119.61323	 122524.83	 Fe hcp (Smith)
348	 0.0090015746	 110251.24	 1.5876928e-05	 119.61266	 122524.72	 Fe hcp (Smith)
351	 0.0095553384	 110250.41	 1.8991015e-05	 119.61217	 122524.63	 Fe hcp (Smith)
354	 0.010143169	 110249.47	 2.2715889e-05	 119.61162	 122524.52	 Fe hcp (Smith)
357	 0.010767162	 110248.4	 2.7171347e-05	 119.61099	 122524.4	 Fe hcp (Smith)
360	 0.011429543	 110247.21	 3.2500679e-05	 119.61029	 122524.26	 Fe hcp (Smith)
363	 0.012132672	 110245.86	 3.8875278e-05	 119.60949	 122524.11	 Fe hcp (Smith)
366	 0.012879057	 110244.34	 4.6500154e-05	 119.6086	 122523.93	 Fe hcp (Smith)
369	 0.013671359	 110242.63	 5.562052e-05	 119.60759	 122523.74	 Fe hcp (Smith)
371	 0.014226457	 110241.37	 6.2674181e-05	 119.60685	 122523.59	 Fe hcp (Smith)
373	 0.014804095	 110240.01	 7.0622351e-05	 119.60605	 122523.44	 Fe hcp (Smith)
375	 0.015405186	 110238.53	 7.9578461e-05	 119.60518	 122523.27	 Fe hcp (Smith)
377	 0.016030683	 110236.93	 8.9670328e-05	 119.60424	 122523.08	 Fe hcp (Smith)
379	 0.016681578	 110235.2	 0.00010104197	 119.60322	 122522.89	 Fe hcp (Smith)
381	 0.017358901	 110233.32	 0.00011385568	 119.60212	 122522.67	 Fe hcp (Smith)
383	 0.018063725	 110231.29	 0.00012829432	 119.60092	 122522.44	 Fe hcp (Smith)
385	 0.018797168	 110229.09	 0.00014456392	 119.59963	 122522.19	 Fe hcp (Smith)
387	 0.019560392	 110226.71	 0.00016289668	 119.59823	 122521.91	 Fe hcp (Smith)
389	 0.020354605	 110224.13	 0.00018355418	 119.59671	 122521.62	 Fe hcp (Smith)
391	 0.021181065	 110221.34	 0.00020683121	 119.59507	 122521.3	 Fe hcp (Smith)
393	 0.022041083	 110218.32	 0.00023305993	 119.59329	 122520.95	 Fe hcp (Smith)
395	 0.022936021	 110215.04	 0.00026261458	 119.59136	 122520.58	 Fe hcp (Smith)
397	 0.023867296	 110211.5	 0.00029591688	 119.58927	 122520.17	 Fe hcp (Smith)
399	 0.024836385	 110207.66	 0.000333442	 119.58701	 122519.73	 Fe hcp (Smith)
401	 0.025844822	 110203.5	 0.00037572533	 119.58457	 122519.25	 Fe hcp (Smith)
403	 0.026894206	 110199	 0.00042337015	 119.58192	 122518.74	 Fe hcp (Smith)
405	 0.027986199	 110194.13	 0.00047705622	 119.57905	 122518.18	 Fe hcp (Smith)
406	 0.028548712	 110191.54	 0.00050640041	 119.57753	 122517.88	 Fe hcp (Smith)
407	 0.029122532	 110188.85	 0.00053754943	 119.57595	 122517.58	 Fe hcp (Smith)
408	 0.029707885	 110186.05	 0.00057061427	 119.5743	 122517.25	 Fe hcp (Smith)
409	 0.030305004	 110183.14	 0.00060571276	 119.57258	 122516.92	 Fe hcp (Smith)
410	 0.030914125	 110180.11	 0.00064296995	 119.5708	 122516.57	 Fe hcp (Smith)
411	 0.031535489	 110176.95	 0.00068251858	 119.56894	 122516.21	 Fe hcp (Smith)
412	 0.032169343	 110173.67	 0.00072449957	 119.56701	 122515.83	 Fe hcp (Smith)
413	 0.032815938	 110170.25	 0.00076906248	 119.565	 122515.44	 Fe hcp (Smith)
