Mass	fCore	fMantle	fWater
0.50	1.0	0.0	0.0
0.60	1.0	0.0	0.0
0.70	1.0	0.0	0.0
0.80	1.0	0.0	0.0
0.90	1.0	0.0	0.0
1.00	1.0	0.0	0.0
1.10	1.0	0.0	0.0
1.20	1.0	0.0	0.0
1.30	1.0	0.0	0.0
1.40	1.0	0.0	0.0
1.50	1.0	0.0	0.0
1.60	1.0	0.0	0.0
1.70	1.0	0.0	0.0
1.80	1.0	0.0	0.0
1.90	1.0	0.0	0.0
2.00	1.0	0.0	0.0
2.10	1.0	0.0	0.0
2.20	1.0	0.0	0.0
2.30	1.0	0.0	0.0
2.40	1.0	0.0	0.0
2.50	1.0	0.0	0.0
2.60	1.0	0.0	0.0
2.70	1.0	0.0	0.0
2.80	1.0	0.0	0.0
2.90	1.0	0.0	0.0
3.00	1.0	0.0	0.0
3.10	1.0	0.0	0.0
3.20	1.0	0.0	0.0
3.30	1.0	0.0	0.0
3.40	1.0	0.0	0.0
3.50	1.0	0.0	0.0
3.60	1.0	0.0	0.0
3.70	1.0	0.0	0.0
3.80	1.0	0.0	0.0
3.90	1.0	0.0	0.0
4.00	1.0	0.0	0.0
4.10	1.0	0.0	0.0
4.20	1.0	0.0	0.0
4.30	1.0	0.0	0.0
4.40	1.0	0.0	0.0
4.50	1.0	0.0	0.0
4.60	1.0	0.0	0.0
4.70	1.0	0.0	0.0
4.80	1.0	0.0	0.0
4.90	1.0	0.0	0.0
5.00	1.0	0.0	0.0
5.10	1.0	0.0	0.0
5.20	1.0	0.0	0.0
5.30	1.0	0.0	0.0
5.40	1.0	0.0	0.0
5.50	1.0	0.0	0.0
5.60	1.0	0.0	0.0
5.70	1.0	0.0	0.0
5.80	1.0	0.0	0.0
5.90	1.0	0.0	0.0
6.00	1.0	0.0	0.0
6.10	1.0	0.0	0.0
6.20	1.0	0.0	0.0
6.30	1.0	0.0	0.0
6.40	1.0	0.0	0.0
6.50	1.0	0.0	0.0
6.60	1.0	0.0	0.0
6.70	1.0	0.0	0.0
6.80	1.0	0.0	0.0
6.90	1.0	0.0	0.0
7.00	1.0	0.0	0.0
7.10	1.0	0.0	0.0
7.20	1.0	0.0	0.0
7.30	1.0	0.0	0.0
7.40	1.0	0.0	0.0
7.50	1.0	0.0	0.0
7.60	1.0	0.0	0.0
7.70	1.0	0.0	0.0
7.80	1.0	0.0	0.0
7.90	1.0	0.0	0.0
8.00	1.0	0.0	0.0
8.10	1.0	0.0	0.0
8.20	1.0	0.0	0.0
8.30	1.0	0.0	0.0
8.40	1.0	0.0	0.0
8.50	1.0	0.0	0.0
8.60	1.0	0.0	0.0
8.70	1.0	0.0	0.0
8.80	1.0	0.0	0.0
8.90	1.0	0.0	0.0
9.00	1.0	0.0	0.0
9.10	1.0	0.0	0.0
9.20	1.0	0.0	0.0
9.30	1.0	0.0	0.0
9.40	1.0	0.0	0.0
9.50	1.0	0.0	0.0
9.60	1.0	0.0	0.0
9.70	1.0	0.0	0.0
9.80	1.0	0.0	0.0
9.90	1.0	0.0	0.0
10.00	1.0	0.0	0.0

