Press (GPa)	Temp (K)	Density (g/cm^-3)	dT/dP (K/GPa)
0.34	150	1.263	11.123
0.34	152.65	1.2626	11.34
0.34	155.31	1.2622	11.559
0.34	157.96	1.2619	11.778
0.34	160.61	1.2614	11.998
0.34	163.27	1.261	12.219
0.34	165.92	1.2606	12.441
0.34	168.57	1.2602	12.665
0.34	171.22	1.2598	12.889
0.34	173.88	1.2594	13.115
0.34	176.53	1.2589	13.342
0.34	179.18	1.2585	13.57
0.34	181.84	1.2581	13.8
0.34	184.49	1.2576	14.03
0.34	187.14	1.2572	14.262
0.34	189.8	1.2567	14.494
0.34	192.45	1.2562	14.728
0.34	195.1	1.2558	14.964
0.34	197.76	1.2553	15.2
0.34	200.41	1.2548	15.438
0.34	203.06	1.2543	15.678
0.34	205.71	1.2538	15.919
0.34	208.37	1.2533	16.161
0.34	211.02	1.2528	16.405
0.34	213.67	1.2523	16.65
0.34	216.33	1.2518	16.896
0.34	218.98	1.2513	17.144
0.34	221.63	1.2508	17.394
0.34	224.29	1.2503	17.645
0.34	226.94	1.2497	17.897
0.34	229.59	1.2492	18.151
0.34	232.24	1.2486	18.407
0.34	234.9	1.2481	18.665
0.34	237.55	1.2475	18.924
0.34	240.2	1.247	19.185
0.34	242.86	1.2464	19.448
0.34	245.51	1.2458	19.713
0.34	248.16	1.2453	19.979
0.34	250.82	1.2447	20.247
0.34	253.47	1.2441	20.517
0.34	256.12	1.2435	20.788
0.34	258.78	1.2429	21.062
0.34	261.43	1.2423	21.337
0.34	264.08	1.2417	21.615
0.34	266.73	1.2411	21.894
0.34	269.39	1.2404	22.176
0.34	272.04	1.2398	22.459
0.34	274.69	1.2392	22.745
0.34	277.35	1.2385	23.033
0.34	280	1.2379	23.324
0.34735	150	1.2637	11.084
0.34735	152.65	1.2633	11.3
0.34735	155.31	1.2629	11.518
0.34735	157.96	1.2625	11.736
0.34735	160.61	1.2621	11.955
0.34735	163.27	1.2617	12.176
0.34735	165.92	1.2613	12.397
0.34735	168.57	1.2609	12.619
0.34735	171.22	1.2605	12.843
0.34735	173.88	1.26	13.068
0.34735	176.53	1.2596	13.294
0.34735	179.18	1.2592	13.521
0.34735	181.84	1.2587	13.75
0.34735	184.49	1.2583	13.979
0.34735	187.14	1.2578	14.21
0.34735	189.8	1.2574	14.442
0.34735	192.45	1.2569	14.675
0.34735	195.1	1.2564	14.909
0.34735	197.76	1.256	15.145
0.34735	200.41	1.2555	15.382
0.34735	203.06	1.255	15.62
0.34735	205.71	1.2545	15.86
0.34735	208.37	1.254	16.101
0.34735	211.02	1.2535	16.344
0.34735	213.67	1.253	16.588
0.34735	216.33	1.2525	16.834
0.34735	218.98	1.252	17.081
0.34735	221.63	1.2515	17.329
0.34735	224.29	1.2509	17.579
0.34735	226.94	1.2504	17.83
0.34735	229.59	1.2499	18.083
0.34735	232.24	1.2493	18.338
0.34735	234.9	1.2488	18.594
0.34735	237.55	1.2482	18.853
0.34735	240.2	1.2477	19.112
0.34735	242.86	1.2471	19.374
0.34735	245.51	1.2465	19.637
0.34735	248.16	1.246	19.902
0.34735	250.82	1.2454	20.169
0.34735	253.47	1.2448	20.438
0.34735	256.12	1.2442	20.708
0.34735	258.78	1.2436	20.98
0.34735	261.43	1.243	21.254
0.34735	264.08	1.2424	21.53
0.34735	266.73	1.2418	21.808
0.34735	269.39	1.2412	22.089
0.34735	272.04	1.2405	22.371
0.34735	274.69	1.2399	22.655
0.34735	277.35	1.2393	22.942
0.34735	280	1.2386	23.231
0.35469	150	1.2643	11.045
0.35469	152.65	1.2639	11.26
0.35469	155.31	1.2636	11.477
0.35469	157.96	1.2632	11.695
0.35469	160.61	1.2628	11.913
0.35469	163.27	1.2624	12.133
0.35469	165.92	1.2619	12.353
0.35469	168.57	1.2615	12.575
0.35469	171.22	1.2611	12.798
0.35469	173.88	1.2607	13.022
0.35469	176.53	1.2603	13.247
0.35469	179.18	1.2598	13.473
0.35469	181.84	1.2594	13.701
0.35469	184.49	1.2589	13.929
0.35469	187.14	1.2585	14.159
0.35469	189.8	1.258	14.39
0.35469	192.45	1.2576	14.622
0.35469	195.1	1.2571	14.855
0.35469	197.76	1.2566	15.09
0.35469	200.41	1.2562	15.326
0.35469	203.06	1.2557	15.564
0.35469	205.71	1.2552	15.802
0.35469	208.37	1.2547	16.043
0.35469	211.02	1.2542	16.284
0.35469	213.67	1.2537	16.527
0.35469	216.33	1.2532	16.772
0.35469	218.98	1.2527	17.018
0.35469	221.63	1.2522	17.265
0.35469	224.29	1.2516	17.514
0.35469	226.94	1.2511	17.764
0.35469	229.59	1.2506	18.016
0.35469	232.24	1.25	18.269
0.35469	234.9	1.2495	18.525
0.35469	237.55	1.2489	18.782
0.35469	240.2	1.2484	19.04
0.35469	242.86	1.2478	19.301
0.35469	245.51	1.2472	19.563
0.35469	248.16	1.2467	19.826
0.35469	250.82	1.2461	20.092
0.35469	253.47	1.2455	20.359
0.35469	256.12	1.2449	20.628
0.35469	258.78	1.2443	20.899
0.35469	261.43	1.2437	21.172
0.35469	264.08	1.2431	21.447
0.35469	266.73	1.2425	21.723
0.35469	269.39	1.2419	22.002
0.35469	272.04	1.2412	22.283
0.35469	274.69	1.2406	22.566
0.35469	277.35	1.24	22.851
0.35469	280	1.2393	23.139
0.36204	150	1.265	11.006
0.36204	152.65	1.2646	11.221
0.36204	155.31	1.2642	11.437
0.36204	157.96	1.2638	11.654
0.36204	160.61	1.2634	11.871
0.36204	163.27	1.263	12.09
0.36204	165.92	1.2626	12.309
0.36204	168.57	1.2622	12.53
0.36204	171.22	1.2618	12.752
0.36204	173.88	1.2613	12.975
0.36204	176.53	1.2609	13.2
0.36204	179.18	1.2605	13.425
0.36204	181.84	1.26	13.652
0.36204	184.49	1.2596	13.88
0.36204	187.14	1.2591	14.108
0.36204	189.8	1.2587	14.338
0.36204	192.45	1.2582	14.57
0.36204	195.1	1.2578	14.802
0.36204	197.76	1.2573	15.036
0.36204	200.41	1.2568	15.271
0.36204	203.06	1.2563	15.507
0.36204	205.71	1.2559	15.745
0.36204	208.37	1.2554	15.984
0.36204	211.02	1.2549	16.225
0.36204	213.67	1.2544	16.467
0.36204	216.33	1.2539	16.71
0.36204	218.98	1.2534	16.955
0.36204	221.63	1.2528	17.201
0.36204	224.29	1.2523	17.449
0.36204	226.94	1.2518	17.698
0.36204	229.59	1.2513	17.949
0.36204	232.24	1.2507	18.201
0.36204	234.9	1.2502	18.455
0.36204	237.55	1.2496	18.711
0.36204	240.2	1.2491	18.969
0.36204	242.86	1.2485	19.228
0.36204	245.51	1.2479	19.489
0.36204	248.16	1.2474	19.751
0.36204	250.82	1.2468	20.015
0.36204	253.47	1.2462	20.281
0.36204	256.12	1.2456	20.549
0.36204	258.78	1.245	20.819
0.36204	261.43	1.2444	21.09
0.36204	264.08	1.2438	21.364
0.36204	266.73	1.2432	21.639
0.36204	269.39	1.2426	21.916
0.36204	272.04	1.242	22.196
0.36204	274.69	1.2413	22.478
0.36204	277.35	1.2407	22.761
0.36204	280	1.2401	23.047
0.36939	150	1.2656	10.968
0.36939	152.65	1.2652	11.182
0.36939	155.31	1.2648	11.397
0.36939	157.96	1.2645	11.613
0.36939	160.61	1.2641	11.83
0.36939	163.27	1.2637	12.047
0.36939	165.92	1.2633	12.266
0.36939	168.57	1.2628	12.486
0.36939	171.22	1.2624	12.707
0.36939	173.88	1.262	12.93
0.36939	176.53	1.2616	13.153
0.36939	179.18	1.2611	13.378
0.36939	181.84	1.2607	13.603
0.36939	184.49	1.2603	13.83
0.36939	187.14	1.2598	14.058
0.36939	189.8	1.2594	14.287
0.36939	192.45	1.2589	14.517
0.36939	195.1	1.2584	14.749
0.36939	197.76	1.258	14.982
0.36939	200.41	1.2575	15.216
0.36939	203.06	1.257	15.451
0.36939	205.71	1.2565	15.688
0.36939	208.37	1.256	15.926
0.36939	211.02	1.2556	16.166
0.36939	213.67	1.2551	16.407
0.36939	216.33	1.2545	16.649
0.36939	218.98	1.254	16.893
0.36939	221.63	1.2535	17.138
0.36939	224.29	1.253	17.385
0.36939	226.94	1.2525	17.633
0.36939	229.59	1.2519	17.882
0.36939	232.24	1.2514	18.134
0.36939	234.9	1.2509	18.387
0.36939	237.55	1.2503	18.641
0.36939	240.2	1.2498	18.898
0.36939	242.86	1.2492	19.156
0.36939	245.51	1.2486	19.415
0.36939	248.16	1.2481	19.677
0.36939	250.82	1.2475	19.94
0.36939	253.47	1.2469	20.204
0.36939	256.12	1.2463	20.471
0.36939	258.78	1.2457	20.739
0.36939	261.43	1.2451	21.009
0.36939	264.08	1.2445	21.282
0.36939	266.73	1.2439	21.556
0.36939	269.39	1.2433	21.832
0.36939	272.04	1.2427	22.11
0.36939	274.69	1.2421	22.39
0.36939	277.35	1.2414	22.672
0.36939	280	1.2408	22.957
0.37673	150	1.2663	10.93
0.37673	152.65	1.2659	11.143
0.37673	155.31	1.2655	11.357
0.37673	157.96	1.2651	11.572
0.37673	160.61	1.2647	11.788
0.37673	163.27	1.2643	12.005
0.37673	165.92	1.2639	12.223
0.37673	168.57	1.2635	12.442
0.37673	171.22	1.2631	12.663
0.37673	173.88	1.2627	12.884
0.37673	176.53	1.2622	13.107
0.37673	179.18	1.2618	13.33
0.37673	181.84	1.2614	13.555
0.37673	184.49	1.2609	13.781
0.37673	187.14	1.2605	14.008
0.37673	189.8	1.26	14.236
0.37673	192.45	1.2596	14.466
0.37673	195.1	1.2591	14.696
0.37673	197.76	1.2586	14.928
0.37673	200.41	1.2582	15.161
0.37673	203.06	1.2577	15.396
0.37673	205.71	1.2572	15.631
0.37673	208.37	1.2567	15.869
0.37673	211.02	1.2562	16.107
0.37673	213.67	1.2557	16.347
0.37673	216.33	1.2552	16.589
0.37673	218.98	1.2547	16.831
0.37673	221.63	1.2542	17.075
0.37673	224.29	1.2537	17.321
0.37673	226.94	1.2532	17.568
0.37673	229.59	1.2526	17.816
0.37673	232.24	1.2521	18.067
0.37673	234.9	1.2515	18.319
0.37673	237.55	1.251	18.572
0.37673	240.2	1.2505	18.827
0.37673	242.86	1.2499	19.084
0.37673	245.51	1.2493	19.342
0.37673	248.16	1.2488	19.603
0.37673	250.82	1.2482	19.864
0.37673	253.47	1.2476	20.128
0.37673	256.12	1.247	20.393
0.37673	258.78	1.2464	20.66
0.37673	261.43	1.2458	20.929
0.37673	264.08	1.2452	21.2
0.37673	266.73	1.2446	21.473
