Press (GPa)	Temp (K)	Density (g/cm^-3)	dT/dP (K/GPa)
0.6	100	1.3643	7.3085
0.6	102.63	1.3639	7.5034
0.6	105.25	1.3636	7.6984
0.6	107.88	1.3633	7.8937
0.6	110.51	1.3629	8.0897
0.6	113.13	1.3626	8.2868
0.6	115.76	1.3622	8.485
0.6	118.38	1.3618	8.6847
0.6	121.01	1.3614	8.886
0.6	123.64	1.361	9.089
0.6	126.26	1.3606	9.2937
0.6	128.89	1.3602	9.4999
0.6	131.52	1.3598	9.7075
0.6	134.14	1.3594	9.9165
0.6	136.77	1.359	10.127
0.6	139.39	1.3585	10.338
0.6	142.02	1.3581	10.55
0.6	144.65	1.3576	10.763
0.6	147.27	1.3572	10.977
0.6	149.9	1.3567	11.192
0.6	152.53	1.3562	11.409
0.6	155.15	1.3557	11.627
0.6	157.78	1.3552	11.847
0.6	160.4	1.3547	12.068
0.6	163.03	1.3542	12.292
0.6	165.66	1.3537	12.517
0.6	168.28	1.3531	12.744
0.6	170.91	1.3526	12.973
0.6	173.54	1.3521	13.204
0.6	176.16	1.3515	13.437
0.6	178.79	1.3509	13.671
0.6	181.41	1.3504	13.907
0.6	184.04	1.3498	14.145
0.6	186.67	1.3492	14.384
0.6	189.29	1.3486	14.625
0.6	191.92	1.348	14.867
0.6	194.55	1.3474	15.111
0.6	197.17	1.3468	15.357
0.6	199.8	1.3462	15.605
0.6	202.42	1.3455	15.855
0.6	205.05	1.3449	16.107
0.6	207.68	1.3442	16.361
0.6	210.3	1.3436	16.617
0.6	212.93	1.3429	16.876
0.6	215.56	1.3422	17.136
0.6	218.18	1.3416	17.398
0.6	220.81	1.3409	17.663
0.6	223.43	1.3402	17.93
0.6	226.06	1.3395	18.198
0.6	228.69	1.3387	18.469
0.6	231.31	1.338	18.742
0.6	233.94	1.3373	19.017
0.6	236.57	1.3366	19.294
0.6	239.19	1.3358	19.573
0.6	241.82	1.3351	19.854
0.6	244.44	1.3343	20.138
0.6	247.07	1.3335	20.424
0.6	249.7	1.3327	20.713
0.6	252.32	1.332	21.004
0.6	254.95	1.3312	21.298
0.6	257.58	1.3304	21.594
0.6	260.2	1.3295	21.892
0.6	262.83	1.3287	22.194
0.6	265.45	1.3279	22.497
0.6	268.08	1.3271	22.803
0.6	270.71	1.3262	23.112
0.6	273.33	1.3254	23.424
0.6	275.96	1.3245	23.738
0.6	278.59	1.3236	24.055
0.6	281.21	1.3227	24.375
0.6	283.84	1.3219	24.697
0.6	286.46	1.321	25.023
0.6	289.09	1.3201	25.351
0.6	291.72	1.3191	25.683
0.6	294.34	1.3182	26.017
0.6	296.97	1.3173	26.355
0.6	299.6	1.3164	26.697
0.6	302.22	1.3154	27.041
0.6	304.85	1.3144	27.388
0.6	307.47	1.3135	27.738
0.6	310.1	1.3125	28.092
0.6	312.73	1.3115	28.45
0.6	315.35	1.3105	28.812
0.6	317.98	1.3095	29.178
0.6	320.61	1.3085	29.548
0.6	323.23	1.3075	29.922
0.6	325.86	1.3065	30.301
0.6	328.48	1.3054	30.684
0.6	331.11	1.3044	31.071
0.6	333.74	1.3033	31.463
0.6	336.36	1.3022	31.86
0.6	338.99	1.3012	32.262
0.6	341.62	1.3001	32.669
0.6	344.24	1.299	33.082
0.6	346.87	1.2978	33.5
0.6	349.49	1.2967	33.923
0.6	352.12	1.2956	34.35
0.6	354.75	1.2944	34.783
0.6	357.37	1.2933	35.219
0.6	360	1.2921	35.659
0.61818	100	1.3656	7.2533
0.61818	102.63	1.3653	7.4468
0.61818	105.25	1.365	7.6404
0.61818	107.88	1.3646	7.8344
0.61818	110.51	1.3643	8.0291
0.61818	113.13	1.3639	8.2248
0.61818	115.76	1.3636	8.4217
0.61818	118.38	1.3632	8.62
0.61818	121.01	1.3628	8.8199
0.61818	123.64	1.3624	9.0215
0.61818	126.26	1.362	9.2247
0.61818	128.89	1.3616	9.4295
0.61818	131.52	1.3612	9.6356
0.61818	134.14	1.3608	9.843
0.61818	136.77	1.3604	10.052
0.61818	139.39	1.3599	10.261
0.61818	142.02	1.3595	10.472
0.61818	144.65	1.359	10.683
0.61818	147.27	1.3586	10.896
0.61818	149.9	1.3581	11.109
0.61818	152.53	1.3576	11.324
0.61818	155.15	1.3571	11.541
0.61818	157.78	1.3566	11.759
0.61818	160.4	1.3561	11.979
0.61818	163.03	1.3556	12.2
0.61818	165.66	1.3551	12.424
0.61818	168.28	1.3546	12.649
0.61818	170.91	1.354	12.876
0.61818	173.54	1.3535	13.105
0.61818	176.16	1.3529	13.336
0.61818	178.79	1.3524	13.568
0.61818	181.41	1.3518	13.802
0.61818	184.04	1.3513	14.038
0.61818	186.67	1.3507	14.275
0.61818	189.29	1.3501	14.514
0.61818	191.92	1.3495	14.754
0.61818	194.55	1.3489	14.996
0.61818	197.17	1.3483	15.24
0.61818	199.8	1.3476	15.486
0.61818	202.42	1.347	15.734
0.61818	205.05	1.3464	15.983
0.61818	207.68	1.3457	16.235
0.61818	210.3	1.3451	16.489
0.61818	212.93	1.3444	16.745
0.61818	215.56	1.3437	17.003
0.61818	218.18	1.3431	17.263
0.61818	220.81	1.3424	17.525
0.61818	223.43	1.3417	17.789
0.61818	226.06	1.341	18.055
0.61818	228.69	1.3403	18.323
0.61818	231.31	1.3396	18.593
0.61818	233.94	1.3388	18.865
0.61818	236.57	1.3381	19.139
0.61818	239.19	1.3374	19.416
0.61818	241.82	1.3366	19.695
0.61818	244.44	1.3359	19.975
0.61818	247.07	1.3351	20.259
0.61818	249.7	1.3343	20.544
0.61818	252.32	1.3335	20.832
0.61818	254.95	1.3327	21.123
0.61818	257.58	1.3319	21.416
0.61818	260.2	1.3311	21.711
0.61818	262.83	1.3303	22.009
0.61818	265.45	1.3295	22.309
0.61818	268.08	1.3287	22.612
0.61818	270.71	1.3278	22.917
0.61818	273.33	1.327	23.225
0.61818	275.96	1.3261	23.536
0.61818	278.59	1.3253	23.849
0.61818	281.21	1.3244	24.165
0.61818	283.84	1.3235	24.484
0.61818	286.46	1.3226	24.805
0.61818	289.09	1.3217	25.13
0.61818	291.72	1.3208	25.457
0.61818	294.34	1.3199	25.788
0.61818	296.97	1.319	26.122
0.61818	299.6	1.3181	26.459
0.61818	302.22	1.3171	26.799
0.61818	304.85	1.3162	27.142
0.61818	307.47	1.3152	27.487
0.61818	310.1	1.3142	27.837
0.61818	312.73	1.3133	28.19
0.61818	315.35	1.3123	28.546
0.61818	317.98	1.3113	28.907
0.61818	320.61	1.3103	29.272
0.61818	323.23	1.3093	29.641
0.61818	325.86	1.3082	30.014
0.61818	328.48	1.3072	30.391
0.61818	331.11	1.3062	30.772
0.61818	333.74	1.3051	31.158
0.61818	336.36	1.3041	31.548
0.61818	338.99	1.303	31.943
0.61818	341.62	1.3019	32.343
0.61818	344.24	1.3008	32.749
0.61818	346.87	1.2997	33.159
0.61818	349.49	1.2986	33.575
0.61818	352.12	1.2975	33.995
0.61818	354.75	1.2963	34.419
0.61818	357.37	1.2952	34.848
0.61818	360	1.294	35.28
0.63636	100	1.367	7.1989
0.63636	102.63	1.3667	7.3911
