Press (GPa)	Temp (K)	Density (g/cm^-3)	dT/dP (K/GPa)
1e-06	100	0.93304	3.7224
1e-06	103.57	0.93293	4.0916
1e-06	107.14	0.93282	4.4771
1e-06	110.71	0.93269	4.8777
1e-06	114.29	0.93256	5.2922
1e-06	117.86	0.93241	5.7191
1e-06	121.43	0.93225	6.1571
1e-06	125	0.93209	6.6046
1e-06	128.57	0.93191	7.06
1e-06	132.14	0.93172	7.5219
1e-06	135.71	0.93152	7.9888
1e-06	139.29	0.93131	8.4592
1e-06	142.86	0.93108	8.9317
1e-06	146.43	0.93085	9.4051
1e-06	150	0.93061	9.8781
1e-06	153.57	0.93035	10.35
1e-06	157.14	0.93008	10.819
1e-06	160.71	0.92981	11.284
1e-06	164.29	0.92952	11.746
1e-06	167.86	0.92922	12.203
1e-06	171.43	0.92892	12.654
1e-06	175	0.9286	13.1
1e-06	178.57	0.92827	13.539
1e-06	182.14	0.92794	13.972
1e-06	185.71	0.92759	14.398
1e-06	189.29	0.92724	14.817
1e-06	192.86	0.92688	15.229
1e-06	196.43	0.9265	15.633
1e-06	200	0.92612	16.031
1e-06	203.57	0.92573	16.421
1e-06	207.14	0.92534	16.803
1e-06	210.71	0.92493	17.179
1e-06	214.29	0.92452	17.548
1e-06	217.86	0.9241	17.909
1e-06	221.43	0.92367	18.264
1e-06	225	0.92323	18.611
1e-06	228.57	0.92279	18.953
1e-06	232.14	0.92234	19.287
1e-06	235.71	0.92188	19.616
1e-06	239.29	0.92142	19.938
1e-06	242.86	0.92095	20.254
1e-06	246.43	0.92047	20.565
1e-06	250	0.91999	20.87
1e-06	253.57	0.9195	21.169
1e-06	257.14	0.919	21.463
1e-06	260.71	0.9185	21.751
1e-06	264.29	0.91799	22.035
1e-06	267.86	0.91748	22.314
1e-06	271.43	0.91696	22.587
1e-06	275	0.91644	22.857
1.2887e-06	100	0.93304	3.7224
1.2887e-06	103.57	0.93293	4.0916
1.2887e-06	107.14	0.93282	4.4771
1.2887e-06	110.71	0.93269	4.8777
1.2887e-06	114.29	0.93256	5.2922
1.2887e-06	117.86	0.93241	5.7191
1.2887e-06	121.43	0.93225	6.1571
1.2887e-06	125	0.93209	6.6046
1.2887e-06	128.57	0.93191	7.06
1.2887e-06	132.14	0.93172	7.5219
1.2887e-06	135.71	0.93152	7.9888
1.2887e-06	139.29	0.93131	8.4592
1.2887e-06	142.86	0.93108	8.9317
1.2887e-06	146.43	0.93085	9.4051
1.2887e-06	150	0.93061	9.8781
1.2887e-06	153.57	0.93035	10.35
1.2887e-06	157.14	0.93008	10.819
1.2887e-06	160.71	0.92981	11.284
1.2887e-06	164.29	0.92952	11.746
1.2887e-06	167.86	0.92922	12.203
1.2887e-06	171.43	0.92892	12.654
1.2887e-06	175	0.9286	13.1
1.2887e-06	178.57	0.92827	13.539
1.2887e-06	182.14	0.92794	13.972
1.2887e-06	185.71	0.92759	14.398
1.2887e-06	189.29	0.92724	14.817
1.2887e-06	192.86	0.92688	15.229
1.2887e-06	196.43	0.9265	15.633
1.2887e-06	200	0.92612	16.031
1.2887e-06	203.57	0.92573	16.421
1.2887e-06	207.14	0.92534	16.803
1.2887e-06	210.71	0.92493	17.179
1.2887e-06	214.29	0.92452	17.548
1.2887e-06	217.86	0.9241	17.909
1.2887e-06	221.43	0.92367	18.264
1.2887e-06	225	0.92323	18.611
1.2887e-06	228.57	0.92279	18.953
1.2887e-06	232.14	0.92234	19.287
1.2887e-06	235.71	0.92188	19.616
1.2887e-06	239.29	0.92142	19.938
1.2887e-06	242.86	0.92095	20.254
1.2887e-06	246.43	0.92047	20.565
1.2887e-06	250	0.91999	20.87
1.2887e-06	253.57	0.9195	21.169
1.2887e-06	257.14	0.919	21.463
1.2887e-06	260.71	0.9185	21.751
1.2887e-06	264.29	0.91799	22.035
1.2887e-06	267.86	0.91748	22.314
