Press (GPa)	Temp (K)	Density (g/cm^-3)	dT/dP (K/GPa)
0.1	100	1.1911	6.7694
0.1	103.27	1.1908	7.0007
0.1	106.53	1.1905	7.2329
0.1	109.8	1.1902	7.4657
0.1	113.06	1.1899	7.6993
0.1	116.33	1.1896	7.9336
0.1	119.59	1.1893	8.1689
0.1	122.86	1.189	8.4051
0.1	126.12	1.1886	8.6425
0.1	129.39	1.1883	8.881
0.1	132.65	1.1879	9.1207
0.1	135.92	1.1876	9.3614
0.1	139.18	1.1872	9.603
0.1	142.45	1.1868	9.8457
0.1	145.71	1.1865	10.089
0.1	148.98	1.1861	10.334
0.1	152.24	1.1857	10.581
0.1	155.51	1.1853	10.828
0.1	158.78	1.1849	11.077
0.1	162.04	1.1845	11.326
0.1	165.31	1.1841	11.578
0.1	168.57	1.1837	11.83
0.1	171.84	1.1833	12.085
0.1	175.1	1.1828	12.34
0.1	178.37	1.1824	12.596
0.1	181.63	1.1819	12.853
0.1	184.9	1.1815	13.113
0.1	188.16	1.181	13.375
0.1	191.43	1.1806	13.639
0.1	194.69	1.1801	13.903
0.1	197.96	1.1796	14.167
0.1	201.22	1.1792	14.432
0.1	204.49	1.1787	14.701
0.1	207.76	1.1782	14.973
0.1	211.02	1.1777	15.248
0.1	214.29	1.1772	15.524
0.1	217.55	1.1767	15.8
0.1	220.82	1.1762	16.077
0.1	224.08	1.1756	16.354
0.1	227.35	1.1751	16.633
0.1	230.61	1.1746	16.915
0.1	233.88	1.174	17.2
0.1	237.14	1.1735	17.489
0.1	240.41	1.1729	17.781
0.1	243.67	1.1724	18.077
0.1	246.94	1.1718	18.375
0.1	250.2	1.1712	18.676
0.1	253.47	1.1706	18.977
0.1	256.73	1.17	19.277
0.1	260	1.1695	19.575
0.11531	100	1.1924	6.7187
0.11531	103.27	1.1921	6.9482
0.11531	106.53	1.1918	7.1786
0.11531	109.8	1.1915	7.4098
0.11531	113.06	1.1912	7.6416
0.11531	116.33	1.1909	7.8743
0.11531	119.59	1.1905	8.1078
0.11531	122.86	1.1902	8.3423
0.11531	126.12	1.1899	8.5779
0.11531	129.39	1.1895	8.8147
0.11531	132.65	1.1892	9.0525
0.11531	135.92	1.1888	9.2914
0.11531	139.18	1.1885	9.5312
0.11531	142.45	1.1881	9.772
0.11531	145.71	1.1877	10.014
0.11531	148.98	1.1874	10.257
0.11531	152.24	1.187	10.501
0.11531	155.51	1.1866	10.747
0.11531	158.78	1.1862	10.993
0.11531	162.04	1.1858	11.241
0.11531	165.31	1.1854	11.491
0.11531	168.57	1.185	11.741
0.11531	171.84	1.1845	11.994
0.11531	175.1	1.1841	12.247
0.11531	178.37	1.1837	12.501
0.11531	181.63	1.1832	12.756
0.11531	184.9	1.1828	13.014
0.11531	188.16	1.1823	13.274
0.11531	191.43	1.1819	13.535
0.11531	194.69	1.1814	13.797
0.11531	197.96	1.181	14.058
0.11531	201.22	1.1805	14.322
0.11531	204.49	1.18	14.589
0.11531	207.76	1.1795	14.859
0.11531	211.02	1.179	15.131
0.11531	214.29	1.1785	15.405
0.11531	217.55	1.178	15.678
0.11531	220.82	1.1775	15.952
0.11531	224.08	1.177	16.227
0.11531	227.35	1.1764	16.504
0.11531	230.61	1.1759	16.783
0.11531	233.88	1.1754	17.066
0.11531	237.14	1.1748	17.352
0.11531	240.41	1.1743	17.642
0.11531	243.67	1.1737	17.935
0.11531	246.94	1.1732	18.23
0.11531	250.2	1.1726	18.527
0.11531	253.47	1.172	18.825
0.11531	256.73	1.1714	19.12
0.11531	260	1.1708	19.413
0.13061	100	1.1936	6.6687
0.13061	103.27	1.1933	6.8966
0.13061	106.53	1.193	7.1253
0.13061	109.8	1.1927	7.3547
0.13061	113.06	1.1924	7.5849
0.13061	116.33	1.1921	7.8158
0.13061	119.59	1.1918	8.0477
0.13061	122.86	1.1915	8.2805
0.13061	126.12	1.1911	8.5143
0.13061	129.39	1.1908	8.7494
0.13061	132.65	1.1904	8.9854
0.13061	135.92	1.1901	9.2225
0.13061	139.18	1.1897	9.4605
0.13061	142.45	1.1894	9.6996
0.13061	145.71	1.189	9.9397
0.13061	148.98	1.1886	10.181
0.13061	152.24	1.1882	10.423
0.13061	155.51	1.1879	10.667
0.13061	158.78	1.1875	10.912
0.13061	162.04	1.1871	11.158
0.13061	165.31	1.1867	11.405
0.13061	168.57	1.1862	11.654
0.13061	171.84	1.1858	11.904
0.13061	175.1	1.1854	12.155
0.13061	178.37	1.185	12.407
0.13061	181.63	1.1845	12.661
0.13061	184.9	1.1841	12.917
0.13061	188.16	1.1836	13.174
0.13061	191.43	1.1832	13.433
0.13061	194.69	1.1827	13.692
0.13061	197.96	1.1823	13.952
0.13061	201.22	1.1818	14.214
0.13061	204.49	1.1813	14.478
0.13061	207.76	1.1808	14.746
0.13061	211.02	1.1803	15.016
0.13061	214.29	1.1798	15.287
0.13061	217.55	1.1793	15.558
0.13061	220.82	1.1788	15.83
0.13061	224.08	1.1783	16.102
0.13061	227.35	1.1778	16.377
0.13061	230.61	1.1773	16.654
0.13061	233.88	1.1767	16.935
0.13061	237.14	1.1762	17.219
0.13061	240.41	1.1756	17.506
0.13061	243.67	1.1751	17.796
0.13061	246.94	1.1745	18.088
0.13061	250.2	1.1739	18.381
0.13061	253.47	1.1734	18.674
0.13061	256.73	1.1728	18.966
0.13061	260	1.1722	19.253
0.14592	100	1.1948	6.6196
0.14592	103.27	1.1946	6.8457
0.14592	106.53	1.1943	7.0727
0.14592	109.8	1.194	7.3005
0.14592	113.06	1.1937	7.529
