Press (GPa)	Temp (K)	Density (g/cm^-3)	dT/dP (K/GPa)
0.18	200	1.1627	20.101
0.18	201.22	1.1625	20.248
0.18	202.45	1.1622	20.396
0.18	203.67	1.1619	20.545
0.18	204.9	1.1617	20.695
0.18	206.12	1.1614	20.846
0.18	207.35	1.1612	20.997
0.18	208.57	1.1609	21.149
0.18	209.8	1.1606	21.302
0.18	211.02	1.1604	21.455
0.18	212.24	1.1601	21.608
0.18	213.47	1.1598	21.762
0.18	214.69	1.1596	21.915
0.18	215.92	1.1593	22.069
0.18	217.14	1.159	22.222
0.18	218.37	1.1587	22.376
0.18	219.59	1.1584	22.53
0.18	220.82	1.1582	22.684
0.18	222.04	1.1579	22.838
0.18	223.27	1.1576	22.993
0.18	224.49	1.1573	23.149
0.18	225.71	1.157	23.305
0.18	226.94	1.1567	23.463
0.18	228.16	1.1565	23.621
0.18	229.39	1.1562	23.78
0.18	230.61	1.1559	23.94
0.18	231.84	1.1556	24.102
0.18	233.06	1.1553	24.264
0.18	234.29	1.155	24.427
0.18	235.51	1.1547	24.592
0.18	236.73	1.1544	24.757
0.18	237.96	1.1541	24.924
0.18	239.18	1.1538	25.091
0.18	240.41	1.1535	25.26
0.18	241.63	1.1532	25.429
0.18	242.86	1.1529	25.599
0.18	244.08	1.1526	25.769
0.18	245.31	1.1522	25.941
0.18	246.53	1.1519	26.112
0.18	247.76	1.1516	26.284
0.18	248.98	1.1513	26.456
0.18	250.2	1.151	26.628
0.18	251.43	1.1507	26.799
0.18	252.65	1.1504	26.97
0.18	253.88	1.15	27.14
0.18	255.1	1.1497	27.31
0.18	256.33	1.1494	27.478
0.18	257.55	1.1491	27.644
0.18	258.78	1.1487	27.809
0.18	260	1.1484	27.972
0.18449	200	1.1633	20.04
0.18449	201.22	1.163	20.187
0.18449	202.45	1.1628	20.334
0.18449	203.67	1.1625	20.483
0.18449	204.9	1.1622	20.632
0.18449	206.12	1.162	20.782
0.18449	207.35	1.1617	20.933
0.18449	208.57	1.1614	21.085
0.18449	209.8	1.1612	21.237
0.18449	211.02	1.1609	21.389
0.18449	212.24	1.1606	21.542
0.18449	213.47	1.1604	21.694
0.18449	214.69	1.1601	21.847
0.18449	215.92	1.1598	22
0.18449	217.14	1.1596	22.153
0.18449	218.37	1.1593	22.306
0.18449	219.59	1.159	22.459
0.18449	220.82	1.1587	22.613
0.18449	222.04	1.1584	22.767
0.18449	223.27	1.1582	22.921
0.18449	224.49	1.1579	23.077
0.18449	225.71	1.1576	23.232
0.18449	226.94	1.1573	23.389
0.18449	228.16	1.157	23.547
0.18449	229.39	1.1567	23.706
0.18449	230.61	1.1564	23.865
0.18449	231.84	1.1561	24.026
0.18449	233.06	1.1558	24.188
0.18449	234.29	1.1555	24.35
0.18449	235.51	1.1553	24.514
0.18449	236.73	1.155	24.679
0.18449	237.96	1.1547	24.845
0.18449	239.18	1.1544	25.012
0.18449	240.41	1.154	25.18
0.18449	241.63	1.1537	25.348
0.18449	242.86	1.1534	25.517
0.18449	244.08	1.1531	25.687
0.18449	245.31	1.1528	25.858
0.18449	246.53	1.1525	26.028
0.18449	247.76	1.1522	26.199
0.18449	248.98	1.1519	26.37
0.18449	250.2	1.1516	26.541
0.18449	251.43	1.1512	26.711
