Press (GPa)	Temp (K)	Density (g/cm^-3)	dT/dP (K/GPa)
1e-06	240	0.97881	-83.613
1e-06	245.31	0.98651	-61.768
1e-06	250.61	0.99167	-44.65
1e-06	255.92	0.99515	-31.341
1e-06	261.22	0.99746	-21.071
1e-06	266.53	0.99891	-12.848
1e-06	271.84	0.99969	-5.9634
1e-06	277.14	0.99993	-0.0061744
1e-06	282.45	0.99971	5.2685
1e-06	287.76	0.99911	10.039
1e-06	293.06	0.99818	14.441
1e-06	298.37	0.99695	18.555
1e-06	303.67	0.99545	22.473
1e-06	308.98	0.9937	26.231
1e-06	314.29	0.99173	29.879
1e-06	319.59	0.98956	33.446
1e-06	324.9	0.98719	36.96
1e-06	330.2	0.98464	40.442
1e-06	335.51	0.98192	43.912
1e-06	340.82	0.97904	47.385
1e-06	346.12	0.976	50.875
1e-06	351.43	0.97281	54.394
1e-06	356.73	0.96948	57.955
1e-06	362.04	0.96601	61.568
1e-06	367.35	0.9624	65.242
1e-06	372.65	0.95866	68.988
1e-06	377.96	0.95479	72.815
1e-06	383.27	0.95079	76.733
1e-06	388.57	0.94667	80.751
1e-06	393.88	0.94242	84.88
1e-06	399.18	0.93804	89.131
1e-06	404.49	0.93355	93.514
1e-06	409.8	0.92892	98.042
1e-06	415.1	0.92418	102.73
1e-06	420.41	0.9193	107.58
1e-06	425.71	0.9143	112.62
1e-06	431.02	0.90918	117.87
1e-06	436.33	0.90391	123.33
1e-06	441.63	0.89852	129.03
1e-06	446.94	0.89298	134.99
1e-06	452.24	0.88731	141.24
1e-06	457.55	0.88149	147.79
1e-06	462.86	0.87551	154.69
1e-06	468.16	0.86938	161.97
1e-06	473.47	0.86308	169.64
1e-06	478.78	0.85661	177.77
1e-06	484.08	0.84996	186.41
1e-06	489.39	0.84311	195.61
1e-06	494.69	0.83607	205.42
1e-06	500	0.8288	215.87
1.1595e-06	240	0.97881	-83.613
1.1595e-06	245.31	0.98651	-61.768
1.1595e-06	250.61	0.99167	-44.65
1.1595e-06	255.92	0.99515	-31.341
1.1595e-06	261.22	0.99746	-21.071
1.1595e-06	266.53	0.99891	-12.848
1.1595e-06	271.84	0.99969	-5.9634
1.1595e-06	277.14	0.99993	-0.0061401
1.1595e-06	282.45	0.99971	5.2685
1.1595e-06	287.76	0.99911	10.039
1.1595e-06	293.06	0.99818	14.441
1.1595e-06	298.37	0.99695	18.555
1.1595e-06	303.67	0.99545	22.473
1.1595e-06	308.98	0.9937	26.231
1.1595e-06	314.29	0.99173	29.879
1.1595e-06	319.59	0.98956	33.446
1.1595e-06	324.9	0.98719	36.96
1.1595e-06	330.2	0.98464	40.442
1.1595e-06	335.51	0.98192	43.912
1.1595e-06	340.82	0.97904	47.385
1.1595e-06	346.12	0.976	50.875
1.1595e-06	351.43	0.97281	54.394
1.1595e-06	356.73	0.96948	57.955
1.1595e-06	362.04	0.96601	61.568
1.1595e-06	367.35	0.9624	65.242
1.1595e-06	372.65	0.95866	68.988
1.1595e-06	377.96	0.95479	72.815
1.1595e-06	383.27	0.95079	76.732
1.1595e-06	388.57	0.94667	80.751
1.1595e-06	393.88	0.94242	84.88
1.1595e-06	399.18	0.93804	89.131
1.1595e-06	404.49	0.93355	93.514
1.1595e-06	409.8	0.92892	98.042
1.1595e-06	415.1	0.92418	102.73
1.1595e-06	420.41	0.9193	107.58
1.1595e-06	425.71	0.9143	112.62
1.1595e-06	431.02	0.90918	117.87
1.1595e-06	436.33	0.90391	123.33
1.1595e-06	441.63	0.89852	129.03
1.1595e-06	446.94	0.89298	134.99
1.1595e-06	452.24	0.88731	141.24
1.1595e-06	457.55	0.88149	147.79
1.1595e-06	462.86	0.87551	154.69
1.1595e-06	468.16	0.86938	161.97
1.1595e-06	473.47	0.86308	169.64
1.1595e-06	478.78	0.85661	177.77
1.1595e-06	484.08	0.84996	186.41
1.1595e-06	489.39	0.84311	195.61
1.1595e-06	494.69	0.83607	205.42
1.1595e-06	500	0.8288	215.87
1.3444e-06	240	0.97881	-83.613
1.3444e-06	245.31	0.98651	-61.768
1.3444e-06	250.61	0.99167	-44.65
1.3444e-06	255.92	0.99515	-31.341
1.3444e-06	261.22	0.99746	-21.071
1.3444e-06	266.53	0.99891	-12.848
1.3444e-06	271.84	0.99969	-5.9634
1.3444e-06	277.14	0.99993	-0.0061004
1.3444e-06	282.45	0.99971	5.2686
1.3444e-06	287.76	0.99911	10.039
1.3444e-06	293.06	0.99818	14.441
1.3444e-06	298.37	0.99695	18.555
1.3444e-06	303.67	0.99545	22.473
1.3444e-06	308.98	0.9937	26.231
1.3444e-06	314.29	0.99173	29.879
1.3444e-06	319.59	0.98956	33.446
1.3444e-06	324.9	0.98719	36.96
1.3444e-06	330.2	0.98464	40.442
1.3444e-06	335.51	0.98192	43.912
1.3444e-06	340.82	0.97904	47.385
1.3444e-06	346.12	0.976	50.875
1.3444e-06	351.43	0.97281	54.394
1.3444e-06	356.73	0.96948	57.955
1.3444e-06	362.04	0.96601	61.568
1.3444e-06	367.35	0.9624	65.242
1.3444e-06	372.65	0.95866	68.988
1.3444e-06	377.96	0.95479	72.815
1.3444e-06	383.27	0.95079	76.732
1.3444e-06	388.57	0.94667	80.751
1.3444e-06	393.88	0.94242	84.88
1.3444e-06	399.18	0.93804	89.131
1.3444e-06	404.49	0.93355	93.514
1.3444e-06	409.8	0.92892	98.042
1.3444e-06	415.1	0.92418	102.73
1.3444e-06	420.41	0.9193	107.58
1.3444e-06	425.71	0.9143	112.62
1.3444e-06	431.02	0.90918	117.87
1.3444e-06	436.33	0.90391	123.33
1.3444e-06	441.63	0.89852	129.03
1.3444e-06	446.94	0.89298	134.99
1.3444e-06	452.24	0.88731	141.24
1.3444e-06	457.55	0.88149	147.79
1.3444e-06	462.86	0.87551	154.69
1.3444e-06	468.16	0.86938	161.97
1.3444e-06	473.47	0.86308	169.64
1.3444e-06	478.78	0.85661	177.77
1.3444e-06	484.08	0.84996	186.4
1.3444e-06	489.39	0.84311	195.61
1.3444e-06	494.69	0.83607	205.42
1.3444e-06	500	0.8288	215.87
1.5588e-06	240	0.97881	-83.613
1.5588e-06	245.31	0.98651	-61.768
1.5588e-06	250.61	0.99167	-44.65
1.5588e-06	255.92	0.99515	-31.341
1.5588e-06	261.22	0.99746	-21.071
1.5588e-06	266.53	0.99891	-12.848
1.5588e-06	271.84	0.99969	-5.9633
1.5588e-06	277.14	0.99993	-0.0060543
1.5588e-06	282.45	0.99971	5.2686
1.5588e-06	287.76	0.99911	10.039
1.5588e-06	293.06	0.99818	14.441
1.5588e-06	298.37	0.99695	18.555
1.5588e-06	303.67	0.99545	22.473
1.5588e-06	308.98	0.9937	26.231
1.5588e-06	314.29	0.99173	29.879
1.5588e-06	319.59	0.98956	33.446
1.5588e-06	324.9	0.98719	36.96
1.5588e-06	330.2	0.98464	40.442
1.5588e-06	335.51	0.98192	43.912
1.5588e-06	340.82	0.97904	47.385
1.5588e-06	346.12	0.976	50.875
1.5588e-06	351.43	0.97281	54.394
1.5588e-06	356.73	0.96948	57.955
1.5588e-06	362.04	0.96601	61.568
1.5588e-06	367.35	0.9624	65.242
1.5588e-06	372.65	0.95866	68.988
1.5588e-06	377.96	0.95479	72.815
1.5588e-06	383.27	0.95079	76.732
1.5588e-06	388.57	0.94667	80.751
1.5588e-06	393.88	0.94242	84.88
1.5588e-06	399.18	0.93804	89.131
1.5588e-06	404.49	0.93355	93.514
1.5588e-06	409.8	0.92892	98.042
1.5588e-06	415.1	0.92418	102.73
1.5588e-06	420.41	0.91931	107.58
1.5588e-06	425.71	0.9143	112.62
1.5588e-06	431.02	0.90918	117.87
1.5588e-06	436.33	0.90391	123.33
1.5588e-06	441.63	0.89852	129.03
1.5588e-06	446.94	0.89298	134.99
1.5588e-06	452.24	0.88731	141.24
1.5588e-06	457.55	0.88149	147.79
1.5588e-06	462.86	0.87551	154.69
1.5588e-06	468.16	0.86938	161.97
1.5588e-06	473.47	0.86308	169.64
1.5588e-06	478.78	0.85661	177.77
1.5588e-06	484.08	0.84996	186.4
1.5588e-06	489.39	0.84311	195.61
1.5588e-06	494.69	0.83607	205.42
1.5588e-06	500	0.8288	215.87
1.8073e-06	240	0.97881	-83.613
1.8073e-06	245.31	0.98651	-61.768
1.8073e-06	250.61	0.99167	-44.65
1.8073e-06	255.92	0.99515	-31.341
1.8073e-06	261.22	0.99746	-21.071
1.8073e-06	266.53	0.99891	-12.848
1.8073e-06	271.84	0.99969	-5.9632
1.8073e-06	277.14	0.99993	-0.0060009
1.8073e-06	282.45	0.99971	5.2687
1.8073e-06	287.76	0.99911	10.04
1.8073e-06	293.06	0.99818	14.441
1.8073e-06	298.37	0.99695	18.555
1.8073e-06	303.67	0.99545	22.473
1.8073e-06	308.98	0.9937	26.231
1.8073e-06	314.29	0.99173	29.879
1.8073e-06	319.59	0.98956	33.446
1.8073e-06	324.9	0.98719	36.96
1.8073e-06	330.2	0.98464	40.442
1.8073e-06	335.51	0.98192	43.912
1.8073e-06	340.82	0.97904	47.385
1.8073e-06	346.12	0.976	50.875
1.8073e-06	351.43	0.97281	54.394
1.8073e-06	356.73	0.96948	57.955
1.8073e-06	362.04	0.96601	61.568
1.8073e-06	367.35	0.9624	65.242
1.8073e-06	372.65	0.95866	68.988
1.8073e-06	377.96	0.95479	72.815
1.8073e-06	383.27	0.95079	76.732
1.8073e-06	388.57	0.94667	80.751
1.8073e-06	393.88	0.94242	84.88
1.8073e-06	399.18	0.93804	89.131
1.8073e-06	404.49	0.93355	93.514
1.8073e-06	409.8	0.92892	98.042
1.8073e-06	415.1	0.92418	102.73
1.8073e-06	420.41	0.91931	107.58
1.8073e-06	425.71	0.91431	112.62
1.8073e-06	431.02	0.90918	117.87
1.8073e-06	436.33	0.90391	123.33
1.8073e-06	441.63	0.89852	129.03
1.8073e-06	446.94	0.89298	134.99
1.8073e-06	452.24	0.88731	141.24
1.8073e-06	457.55	0.88149	147.79
1.8073e-06	462.86	0.87551	154.69
1.8073e-06	468.16	0.86938	161.96
