Press (GPa)	Temp (K)	Density (gcm^-3)	dT/dP_S (K/GPa)
1e-06	300	7.2260351e-06	74067448.9
1e-06	303.614458	7.13976172e-06	74946520.5
1e-06	307.228916	7.05554277e-06	75818997.7
1e-06	310.843373	6.9733033e-06	76686288.2
1e-06	314.457831	6.89297249e-06	77549185.8
1e-06	318.072289	6.81448316e-06	78408157.5
1e-06	321.686747	6.73777149e-06	79263492.2
1e-06	325.301205	6.66277673e-06	80115379.3
1e-06	328.915663	6.58944101e-06	80963951.1
1e-06	332.53012	6.51770913e-06	81809305.1
1e-06	336.144578	6.44752839e-06	82651516.8
1e-06	339.759036	6.37884846e-06	83490647.4
1e-06	343.373494	6.31162121e-06	84326748.1
1e-06	346.987952	6.2458006e-06	85159862.5
1e-06	350.60241	6.18134256e-06	85990028.9
1e-06	354.216867	6.11820489e-06	86817281.4
1e-06	357.831325	6.05634714e-06	87641650.6
1e-06	361.445783	5.99573053e-06	88463164.7
1e-06	365.060241	5.93631783e-06	89281849.8
1e-06	368.674699	5.87807334e-06	90097730.3
1e-06	372.289157	5.82096276e-06	90910829.4
1e-06	375.903614	5.76495314e-06	91721169.1
1e-06	379.518072	5.7100128e-06	92528770.9
1e-06	383.13253	5.65611129e-06	93333655.6
1e-06	386.746988	5.60321931e-06	94135843.4
1e-06	390.361446	5.55130866e-06	94935354.2
1e-06	393.975904	5.50035219e-06	95732208
1e-06	397.590361	5.45032375e-06	96526424.1
1e-06	401.204819	5.40119814e-06	97318022.1
1e-06	404.819277	5.35295109e-06	98107021.3
1e-06	408.433735	5.30555917e-06	98893441.1
1e-06	412.048193	5.2589998e-06	99677300.8
1e-06	415.662651	5.21325117e-06	100458620
1e-06	419.277108	5.16829226e-06	101237417
1e-06	422.891566	5.12410275e-06	102013712
1e-06	426.506024	5.08066302e-06	102787523
1e-06	430.120482	5.03795412e-06	103558871
1e-06	433.73494	4.99595773e-06	104327774
1e-06	437.349398	4.95465614e-06	105094250
1e-06	440.963855	4.91403222e-06	105858320
1e-06	444.578313	4.87406942e-06	106620001
1e-06	448.192771	4.83475169e-06	107379312
1e-06	451.807229	4.79606354e-06	108136272
1e-06	455.421687	4.75798993e-06	108890898
1e-06	459.036145	4.72051634e-06	109643210
1e-06	462.650602	4.68362866e-06	110393224
1e-06	466.26506	4.64731326e-06	111140958
1e-06	469.879518	4.6115569e-06	111886430
1e-06	473.493976	4.57634677e-06	112629657
1e-06	477.108434	4.54167043e-06	113370654
1e-06	480.722892	4.50751582e-06	114109439
1e-06	484.337349	4.47387126e-06	114846028
1e-06	487.951807	4.44072538e-06	115580436
1e-06	491.566265	4.40806719e-06	116312678
1e-06	495.180723	4.37588598e-06	117042771
1e-06	498.795181	4.34417138e-06	117770727
1e-06	502.409639	4.31291331e-06	118496562
1e-06	506.024096	4.28210196e-06	119220290
1e-06	509.638554	4.25172784e-06	119941923
1e-06	513.253012	4.22178169e-06	120661476
1e-06	516.86747	4.19225452e-06	121378960
1e-06	520.481928	4.16313761e-06	122094389
1e-06	524.096386	4.13442245e-06	122807774
1e-06	527.710843	4.10610079e-06	123519127
1e-06	531.325301	4.07816458e-06	124228459
1e-06	534.939759	4.05060602e-06	124935780
1e-06	538.554217	4.02341748e-06	125641103
1e-06	542.168675	3.99659157e-06	126344436
1e-06	545.783133	3.97012107e-06	127045789
1e-06	549.39759	3.94399896e-06	127745172
1e-06	553.012048	3.91821842e-06	128442594
1e-06	556.626506	3.89277278e-06	129138064
1e-06	560.240964	3.86765555e-06	129831590
1e-06	563.855422	3.84286042e-06	130523181
1e-06	567.46988	3.81838123e-06	131212844
